location,forecast_epiforecasts-EpiExpert,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,20642,17747,18173,18548,18991,19296,19541,19755,19949,20130,20304,20474,20642,20812,20987,21168,21361,21572,21809,22089,22446,22987,23467,24039,2021-03-20,day
BE,22121,17530,18184,18766,19460,19943,20336,20678,20991,21285,21568,21845,22121,22401,22689,22990,23312,23665,24063,24537,25146,26076,26911,27915,2021-03-20,day
BG,22505,15876,16773,17585,18569,19265,19836,20340,20803,21241,21666,22085,22505,22934,23377,23844,24347,24901,25534,26291,27275,28803,30197,31903,2021-03-20,day
CH,9741,6713,7119,7487,7935,8252,8514,8744,8957,9158,9354,9547,9741,9939,10144,10360,10593,10851,11145,11498,11958,12673,13329,14133,2021-03-20,day
CY,3245,1848,2020,2180,2380,2525,2647,2757,2858,2956,3052,3148,3245,3345,3450,3562,3684,3821,3978,4170,4425,4832,5215,5698,2021-03-20,day
CZ,78303,69705,70993,72121,73443,74349,75076,75706,76277,76809,77317,77813,78303,78796,79301,79826,80383,80989,81668,82468,83485,85015,86365,87962,2021-03-20,day
DE,80442,62837,65306,67514,70161,72011,73519,74841,76049,77188,78286,79365,80442,81535,82663,83846,85113,86503,88081,89959,92385,96113,99479,103555,2021-03-20,day
DK,8683,5389,5810,6197,6677,7021,7307,7561,7798,8023,8243,8462,8683,8909,9146,9396,9668,9970,10318,10738,11292,12165,12976,13989,2021-03-20,day
EE,10720,6732,7244,7715,8296,8713,9059,9367,9653,9925,10190,10454,10720,10993,11277,11579,11906,12268,12685,13189,13852,14896,15865,17071,2021-03-20,day
ES,33378,26450,27438,28316,29364,30092,30684,31201,31673,32117,32543,32962,33378,33800,34235,34690,35175,35707,36309,37023,37942,39346,40606,42121,2021-03-20,day
FI,4560,2863,3081,3281,3529,3706,3853,3984,4106,4221,4334,4446,4560,4676,4797,4925,5064,5218,5395,5610,5892,6336,6748,7261,2021-03-20,day
FR,170715,135282,140330,144823,150181,153907,156935,159580,161993,164262,166444,168583,170715,172874,175095,177421,179906,182627,185705,189358,194057,201236,207678,215429,2021-03-20,day
GB,42697,32507,33907,35168,36689,37759,38634,39404,40111,40779,41424,42060,42697,43345,44015,44721,45478,46312,47261,48396,49869,52148,54221,56752,2021-03-20,day
GR,16393,10057,10862,11605,12525,13187,13737,14228,14683,15119,15543,15966,16393,16831,17289,17774,18301,18887,19562,20379,21455,23156,24740,26719,2021-03-20,day
HR,5595,4030,4244,4437,4670,4834,4969,5087,5196,5299,5398,5497,5595,5695,5798,5907,6024,6153,6300,6475,6703,7055,7376,7767,2021-03-20,day
HU,55691,43723,45421,46934,48742,50000,51023,51918,52735,53503,54243,54968,55691,56423,57178,57968,58812,59737,60785,62029,63631,66081,68282,70934,2021-03-20,day
IE,3676,2975,3076,3165,3271,3345,3405,3457,3505,3549,3592,3634,3676,3718,3762,3807,3856,3909,3969,4040,4131,4270,4394,4543,2021-03-20,day
IS,151,9,14,20,31,42,54,66,79,94,111,130,151,177,207,243,289,347,427,542,733,1147,1690,2654,2021-03-20,day
IT,171573,128280,134292,139687,146177,150725,154440,157701,160687,163505,166225,168899,171573,174290,177094,180039,183197,186666,190607,195305,201382,210738,219205,229477,2021-03-20,day
LI,10,1,2,2,3,4,5,5,6,7,8,9,10,11,13,15,16,19,22,26,33,46,62,86,2021-03-20,day
LT,2890,1631,1784,1928,2109,2240,2350,2448,2540,2629,2715,2802,2890,2981,3076,3177,3288,3412,3555,3729,3961,4331,4681,5122,2021-03-20,day
LU,1208,903,946,983,1029,1061,1087,1110,1131,1151,1170,1189,1208,1227,1247,1268,1290,1314,1342,1375,1418,1484,1543,1616,2021-03-20,day
LV,3101,2457,2549,2630,2728,2795,2850,2898,2942,2983,3023,3062,3101,3140,3180,3222,3268,3317,3373,3439,3525,3655,3772,3913,2021-03-20,day
MT,2054,1439,1522,1597,1688,1753,1806,1853,1896,1936,1976,2015,2054,2094,2135,2179,2226,2277,2336,2407,2499,2642,2772,2932,2021-03-20,day
NL,39672,32390,33441,34372,35478,36244,36865,37406,37899,38361,38805,39239,39672,40109,40558,41027,41528,42075,42693,43424,44363,45791,47067,48596,2021-03-20,day
NO,6300,4623,4854,5062,5313,5489,5633,5759,5876,5985,6091,6196,6300,6406,6516,6631,6755,6891,7046,7231,7471,7841,8176,8584,2021-03-20,day
PL,127003,99898,103741,107167,111259,114109,116427,118454,120304,122045,123721,125364,127003,128664,130374,132166,134081,136180,138556,141379,145014,150576,155576,161602,2021-03-20,day
PT,3302,2073,2231,2376,2555,2684,2790,2885,2973,3057,3139,3220,3302,3386,3473,3566,3667,3778,3907,4062,4266,4588,4886,5258,2021-03-20,day
RO,33140,26880,27781,28580,29530,30189,30723,31188,31613,32011,32393,32768,33140,33517,33905,34310,34742,35214,35748,36380,37192,38428,39533,40859,2021-03-20,day
SE,27731,21975,22795,23525,24395,25001,25493,25922,26314,26683,27037,27385,27731,28082,28443,28820,29224,29666,30166,30759,31523,32689,33735,34994,2021-03-20,day
SI,4100,2892,3055,3203,3383,3509,3614,3705,3790,3870,3947,4023,4100,4178,4259,4344,4435,4536,4651,4789,4969,5247,5501,5812,2021-03-20,day
SK,13307,9387,9917,10397,10980,11391,11729,12027,12300,12560,12811,13058,13307,13560,13822,14099,14396,14724,15098,15545,16127,17031,17855,18864,2021-03-20,day
