location,forecast_EuroCOVIDhub-baseline,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,390,228,280,317,347,362,370,377,382,384,387,389,390,391,393,396,398,403,410,418,433,463,500,552,2021-12-18,day
BE,337,0,0,120,235,282,299,313,324,328,333,336,337,338,341,346,350,361,375,392,439,554,750,980,2021-12-18,day
BG,681,463,484,544,581,605,629,654,668,673,677,680,681,682,685,689,694,708,733,757,781,818,878,899,2021-12-18,day
CH,159,0,32,87,120,136,144,149,152,155,157,158,159,160,161,163,166,169,174,182,198,231,286,318,2021-12-18,day
CY,7,0,0,0,1,3,4,5,6,6,7,7,7,7,7,8,8,9,10,11,13,15,16,18,2021-12-18,day
CZ,801,479,544,603,668,710,764,780,790,794,797,801,801,801,805,808,812,822,838,892,934,999,1058,1123,2021-12-18,day
DE,2599,1582,1906,2092,2235,2331,2422,2518,2541,2570,2584,2596,2599,2602,2614,2628,2657,2680,2776,2866,2963,3105,3292,3616,2021-12-18,day
DK,66,16,26,44,54,58,59,61,62,64,65,66,66,66,67,68,69,71,73,74,78,88,106,116,2021-12-18,day
EE,33,6,14,21,26,28,29,31,32,32,33,33,33,33,33,34,34,35,37,38,40,45,52,60,2021-12-18,day
ES,222,0,0,0,0,0,68,140,174,190,208,219,222,225,236,254,270,304,376,485,745,1393,1638,2093,2021-12-18,day
FI,61,33,44,49,53,55,57,58,59,60,60,61,61,61,62,62,63,64,65,67,69,73,78,89,2021-12-18,day
FR,854,0,0,185,484,631,709,744,791,820,831,847,854,861,877,888,917,964,999,1077,1224,1523,1893,2178,2021-12-18,day
GB,836,0,0,0,251,559,702,751,788,808,818,834,836,838,854,864,883,921,970,1113,1421,1878,2295,2991,2021-12-18,day
GR,641,476,533,556,583,605,617,624,634,635,638,641,641,641,644,647,648,658,665,677,699,726,749,806,2021-12-18,day
HR,424,327,343,359,387,397,410,414,419,421,423,424,424,424,425,427,429,434,438,451,461,489,505,521,2021-12-18,day
HU,1307,942,1058,1093,1199,1241,1268,1286,1298,1303,1304,1307,1307,1307,1310,1311,1316,1328,1346,1373,1416,1521,1556,1672,2021-12-18,day
IE,81,0,0,16,54,62,69,72,75,78,80,81,81,81,82,84,87,90,93,100,108,146,164,259,2021-12-18,day
IS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2021-12-18,day
IT,613,0,0,0,227,369,462,522,564,579,591,600,613,626,635,647,661,704,764,857,999,1262,1667,1880,2021-12-18,day
LI,5,0,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,9,11,2021-12-18,day
LT,131,86,90,98,107,115,120,125,128,129,130,131,131,131,132,133,134,137,142,147,155,164,172,176,2021-12-18,day
LU,10,0,0,0,5,6,8,9,9,10,10,10,10,10,10,10,11,11,12,14,15,20,24,28,2021-12-18,day
LV,105,41,52,74,89,93,98,102,103,104,104,105,105,105,106,106,107,108,112,117,122,136,158,169,2021-12-18,day
MT,2,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,3,3,4,5,6,7,8,9,2021-12-18,day
NL,432,195,277,319,350,379,403,414,420,424,427,431,432,433,437,440,444,450,461,485,514,545,587,669,2021-12-18,day
NO,43,22,25,31,35,38,40,40,41,41,42,43,43,43,44,45,45,46,46,48,51,55,61,64,2021-12-18,day
PL,2784,2010,2085,2330,2496,2577,2644,2739,2756,2768,2774,2781,2784,2787,2794,2800,2812,2829,2924,2991,3072,3238,3483,3558,2021-12-18,day
PT,131,0,0,11,86,107,112,117,120,125,127,131,131,131,135,137,142,145,150,155,176,251,468,632,2021-12-18,day
RO,510,0,0,139,307,387,438,464,480,492,500,509,510,511,520,528,540,556,582,633,714,881,1050,1162,2021-12-18,day
SE,21,0,0,0,0,0,0,0,10,14,18,21,21,21,24,28,31,44,54,66,97,158,215,234,2021-12-18,day
SI,104,48,55,72,83,92,97,99,101,102,103,104,104,104,105,106,107,109,111,116,126,136,153,160,2021-12-18,day
SK,533,368,393,442,485,506,517,526,530,531,533,533,533,533,533,535,536,540,549,560,581,624,673,698,2021-12-18,day
