location,forecast_EuroCOVIDhub-ensemble,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,200,9,66,103,153,167,177,183,193,195,197,199,200,201,203,205,207,217,223,233,247,297,334,391,2021-05-01,day
BE,272,0,0,0,114,161,214,232,244,262,267,270,272,274,277,282,300,312,330,383,430,625,875,916,2021-05-01,day
BG,721,466,526,606,644,670,696,708,713,715,719,720,721,722,723,727,729,734,746,772,798,836,916,976,2021-05-01,day
CH,89,0,0,0,13,39,53,69,77,84,88,89,89,89,90,94,101,109,125,139,165,191,235,319,2021-05-01,day
CY,10,2,3,5,6,7,9,9,9,10,10,10,10,10,10,10,11,11,11,13,14,15,17,18,2021-05-01,day
CZ,524,189,251,308,353,407,468,502,513,517,521,524,524,524,527,531,535,546,580,641,696,740,797,859,2021-05-01,day
DE,1639,484,858,1009,1193,1291,1410,1522,1574,1619,1629,1637,1639,1641,1649,1659,1704,1756,1868,1987,2085,2269,2420,2794,2021-05-01,day
DK,22,0,0,0,6,13,15,17,20,20,21,22,22,22,23,24,24,27,29,31,38,54,65,78,2021-05-01,day
EE,55,36,41,45,49,50,52,53,54,55,55,55,55,55,55,55,56,57,58,60,61,65,69,74,2021-05-01,day
ES,610,0,0,0,0,37,305,431,525,565,587,607,610,613,633,655,695,788,915,1182,1609,1950,2153,3051,2021-05-01,day
FI,16,0,0,3,8,10,13,14,15,15,15,16,16,16,17,17,17,18,19,22,24,29,33,62,2021-05-01,day
FR,2099,151,883,1245,1521,1676,1856,1958,2004,2050,2075,2092,2099,2106,2123,2148,2194,2240,2342,2522,2677,2953,3315,4047,2021-05-01,day
GB,157,0,0,0,0,0,0,0,81,128,134,149,157,165,180,186,233,357,555,779,975,1475,1875,2610,2021-05-01,day
GR,553,360,445,472,509,529,537,545,547,550,552,553,553,553,554,556,559,561,569,577,597,634,661,746,2021-05-01,day
HR,292,197,205,223,255,266,281,285,289,290,291,292,292,292,293,294,295,299,303,318,329,361,379,387,2021-05-01,day
HU,1441,1088,1189,1250,1361,1384,1407,1419,1434,1437,1438,1441,1441,1441,1444,1445,1448,1463,1475,1498,1521,1632,1693,1794,2021-05-01,day
IE,37,0,0,0,0,16,21,27,30,33,35,37,37,37,39,41,44,47,53,58,79,110,156,260,2021-05-01,day
IS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,2021-05-01,day
IT,2345,687,1122,1357,1798,1953,2112,2191,2237,2299,2321,2337,2345,2353,2369,2391,2453,2499,2578,2737,2892,3333,3568,4003,2021-05-01,day
LI,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,6,2021-05-01,day
LT,90,40,47,57,66,79,84,87,88,89,89,90,90,90,91,91,92,93,96,101,114,123,133,140,2021-05-01,day
LU,5,0,0,0,0,0,2,3,4,4,5,5,5,5,5,6,6,7,8,10,12,18,22,23,2021-05-01,day
LV,53,0,21,33,45,47,50,52,52,52,53,53,53,53,53,54,54,54,56,59,61,73,85,114,2021-05-01,day
MT,3,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,4,5,6,6,7,9,10,11,2021-05-01,day
NL,134,0,0,0,35,52,81,104,117,124,129,133,134,135,139,144,151,164,187,216,233,280,323,473,2021-05-01,day
NO,28,6,10,15,20,23,24,25,26,26,27,28,28,28,29,30,30,31,32,33,36,41,46,50,2021-05-01,day
PL,3397,2638,2902,2992,3138,3188,3267,3354,3373,3385,3388,3396,3397,3398,3406,3409,3421,3440,3527,3606,3656,3802,3892,4156,2021-05-01,day
PT,17,0,0,0,0,0,0,0,1,6,12,15,17,19,22,28,33,37,43,66,95,212,472,528,2021-05-01,day
RO,1195,1005,1027,1060,1121,1142,1158,1169,1178,1182,1193,1195,1195,1195,1197,1208,1212,1221,1232,1248,1269,1330,1363,1385,2021-05-01,day
SE,135,0,0,0,32,56,82,96,103,119,128,135,135,135,142,151,166,174,188,214,238,311,342,380,2021-05-01,day
SI,50,0,0,8,22,35,42,45,47,48,49,50,50,50,51,52,53,55,58,65,78,92,104,114,2021-05-01,day
SK,415,229,274,331,372,390,401,411,413,414,415,415,415,415,415,416,417,419,429,440,458,499,556,601,2021-05-01,day
