location,forecast_IEM_Health-CovidProject,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,19,0,0,3,5,8,9,11,13,14,16,17,19,21,22,24,26,29,32,35,40,48,54,64,2021-09-04,day
BE,31,0,3,7,11,15,17,20,22,24,27,29,31,33,36,39,42,45,49,54,61,72,82,98,2021-09-04,day
BG,313,175,194,214,234,249,260,271,280,289,296,305,313,321,329,339,348,358,370,386,404,436,464,496,2021-09-04,day
CH,11,0,0,0,2,4,5,6,7,8,9,10,11,12,14,15,16,18,19,21,24,29,34,39,2021-09-04,day
CY,18,5,6,8,10,11,12,13,15,16,17,17,18,19,21,22,23,24,26,28,31,35,38,42,2021-09-04,day
CZ,30,0,0,3,7,10,13,16,18,21,24,27,30,33,36,39,43,47,53,60,70,84,99,115,2021-09-04,day
DE,182,0,23,54,85,104,119,131,142,152,162,171,182,193,205,219,232,247,266,291,323,373,425,483,2021-09-04,day
DK,14,0,0,3,5,7,8,10,11,12,12,13,14,16,17,18,19,20,22,24,26,31,35,41,2021-09-04,day
EE,3,0,0,0,0,1,1,1,2,2,2,2,3,3,4,4,4,5,5,6,7,9,11,13,2021-09-04,day
ES,895,547,599,643,700,738,763,790,814,835,855,876,895,916,936,960,985,1015,1053,1097,1162,1281,1416,1577,2021-09-04,day
FI,10,1,2,3,4,5,6,7,7,8,9,10,10,11,12,13,14,15,16,18,20,23,26,31,2021-09-04,day
FR,467,250,285,314,348,372,390,405,418,431,444,455,467,479,493,506,522,541,563,594,641,727,794,891,2021-09-04,day
GB,955,631,682,724,776,810,836,858,880,900,919,937,955,973,992,1011,1033,1055,1083,1115,1156,1228,1297,1370,2021-09-04,day
GR,228,129,145,156,171,181,190,197,204,210,216,222,228,235,241,246,254,262,270,280,293,315,335,364,2021-09-04,day
HR,32,5,8,11,14,17,19,22,24,26,28,30,32,33,36,38,40,43,47,51,56,64,72,80,2021-09-04,day
HU,9,0,0,0,0,1,2,3,5,6,7,8,9,11,12,14,16,18,20,23,27,36,43,54,2021-09-04,day
IE,17,0,0,1,4,7,9,11,12,13,15,16,17,18,20,21,23,25,27,30,34,40,48,57,2021-09-04,day
IS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2021-09-04,day
IT,381,177,208,231,261,283,299,314,328,342,354,368,381,394,408,423,437,454,472,494,526,581,628,697,2021-09-04,day
LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,2021-09-04,day
LT,75,42,47,51,55,59,62,65,67,69,71,73,75,77,79,81,84,86,89,92,97,103,108,115,2021-09-04,day
LU,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,4,5,6,8,10,2021-09-04,day
LV,7,0,0,0,1,2,3,4,4,5,5,6,7,8,8,9,10,11,12,14,16,19,22,26,2021-09-04,day
MT,4,0,0,1,1,2,2,3,3,3,4,4,4,5,5,6,6,7,7,8,9,10,12,14,2021-09-04,day
NL,50,15,19,23,28,31,35,38,40,43,45,47,50,53,55,58,61,64,69,73,79,88,95,107,2021-09-04,day
NO,3,0,0,0,0,0,0,1,1,2,2,2,3,3,3,4,5,5,6,7,9,12,14,18,2021-09-04,day
PL,37,0,0,0,5,9,13,17,21,25,28,32,37,41,46,51,57,63,71,80,95,120,152,223,2021-09-04,day
PT,92,34,40,47,56,62,68,72,77,81,84,88,92,95,100,104,109,115,121,127,136,150,163,176,2021-09-04,day
RO,138,36,46,56,71,82,91,100,108,115,123,131,138,145,153,162,171,183,195,209,227,258,293,330,2021-09-04,day
SE,14,0,0,0,0,0,0,3,5,7,9,11,14,17,20,24,30,37,50,70,94,130,189,289,2021-09-04,day
SI,14,2,3,4,6,7,8,9,10,11,12,13,14,15,16,18,19,21,22,25,28,33,37,44,2021-09-04,day
SK,2,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,7,9,11,14,20,26,33,2021-09-04,day
