location,forecast_Karlen-pypm,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,90,36,44,50,58,64,69,73,76,80,83,87,90,93,96,100,103,107,112,118,125,134,144,152,2021-10-02,day
BE,68,41,45,49,53,56,58,60,62,64,65,66,68,69,71,73,74,77,79,81,85,90,96,101,2021-10-02,day
BG,412,88,142,187,239,270,297,318,338,357,376,396,412,430,448,466,486,507,536,567,605,665,709,769,2021-10-02,day
CH,32,0,3,7,13,16,19,22,24,26,28,30,32,35,37,40,42,45,48,51,57,64,70,77,2021-10-02,day
CY,8,2,3,4,5,5,6,6,7,7,7,8,8,8,9,9,10,10,11,11,12,13,14,15,2021-10-02,day
CZ,27,1,4,7,12,14,17,19,20,22,24,25,27,29,30,32,34,36,38,42,45,50,55,62,2021-10-02,day
DE,426,121,160,213,256,291,317,338,355,375,392,411,426,441,458,475,494,518,540,566,602,651,701,759,2021-10-02,day
DK,13,5,6,7,9,9,10,11,11,12,12,13,13,14,14,15,16,16,17,18,19,20,22,23,2021-10-02,day
EE,20,5,7,9,11,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,32,34,38,2021-10-02,day
ES,492,106,174,219,276,313,346,374,399,422,448,468,492,516,539,563,588,618,648,684,724,792,852,935,2021-10-02,day
FI,11,4,5,6,7,8,9,9,10,10,10,11,11,12,12,12,13,13,14,15,16,17,18,20,2021-10-02,day
FR,373,0,33,90,152,190,225,254,278,304,328,353,373,396,420,444,469,496,532,567,623,704,771,859,2021-10-02,day
GB,1027,454,549,611,711,766,816,858,897,929,959,994,1027,1057,1086,1119,1156,1201,1246,1293,1361,1458,1552,1657,2021-10-02,day
GR,181,126,134,141,151,156,161,165,168,172,175,177,181,184,187,191,195,199,203,208,215,226,238,247,2021-10-02,day
HR,107,81,84,88,92,95,97,99,101,102,104,105,107,108,109,111,113,114,116,119,121,126,130,136,2021-10-02,day
HU,29,5,9,12,16,18,20,21,23,24,26,27,29,30,31,33,34,36,38,40,43,48,53,60,2021-10-02,day
IE,37,30,31,32,33,34,34,35,35,36,36,36,37,37,37,38,38,39,39,40,40,42,43,44,2021-10-02,day
IT,375,235,258,271,294,308,321,333,341,350,358,368,375,382,390,399,408,417,428,442,458,483,506,533,2021-10-02,day
LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2021-10-02,day
LT,124,73,83,90,98,102,106,110,113,116,119,121,124,127,130,133,136,140,144,149,156,165,174,184,2021-10-02,day
LU,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2021-10-02,day
LV,46,15,21,25,30,33,35,37,39,41,42,44,46,47,49,51,53,55,57,60,63,68,73,78,2021-10-02,day
MT,3,0,0,0,1,1,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,6,6,7,2021-10-02,day
NL,52,21,26,31,35,38,41,43,45,47,49,51,52,54,56,58,60,62,65,68,72,78,83,90,2021-10-02,day
NO,9,0,0,0,0,0,1,3,4,5,6,7,9,10,11,12,14,15,17,19,22,26,30,35,2021-10-02,day
PL,98,31,40,49,61,67,72,78,82,86,91,95,98,103,107,112,117,122,128,135,144,159,172,185,2021-10-02,day
PT,42,20,23,25,29,32,34,35,37,38,40,41,42,43,44,46,47,48,50,52,54,57,60,65,2021-10-02,day
RO,1113,832,884,915,963,992,1016,1036,1052,1070,1085,1098,1113,1129,1146,1162,1181,1199,1223,1248,1284,1346,1392,1465,2021-10-02,day
SE,76,9,17,25,36,43,49,54,58,63,67,72,76,81,86,91,96,102,109,118,127,140,154,171,2021-10-02,day
SI,53,30,32,35,39,42,44,46,47,49,50,52,53,55,56,58,60,62,64,66,69,75,78,84,2021-10-02,day
SK,28,4,8,11,15,17,19,21,22,24,25,27,28,30,31,33,35,37,39,42,45,50,55,59,2021-10-02,day
