location,forecast_RobertWalraven-ESG,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,186,143,150,156,163,167,171,174,177,179,182,184,186,189,191,194,196,199,202,206,210,217,223,230,2021-05-01,day
BE,276,150,169,187,206,220,230,240,248,255,263,269,276,283,290,297,305,313,322,333,346,366,383,403,2021-05-01,day
BG,630,505,525,542,561,574,585,594,602,609,616,623,630,636,643,650,658,666,675,685,698,718,734,754,2021-05-01,day
CH,43,0,1,8,16,21,25,29,32,35,38,41,43,46,49,52,55,58,62,66,71,79,86,94,2021-05-01,day
CY,12,8,9,10,10,11,11,11,11,12,12,12,12,13,13,13,13,14,14,14,15,15,16,16,2021-05-01,day
CZ,391,250,272,291,313,328,340,350,359,368,375,383,391,398,406,414,422,432,442,453,468,490,509,532,2021-05-01,day
DE,1656,1262,1324,1378,1439,1481,1514,1542,1567,1591,1613,1635,1656,1677,1699,1721,1745,1770,1798,1831,1873,1934,1988,2050,2021-05-01,day
DK,20,7,9,11,13,14,15,16,17,18,18,19,20,20,21,22,22,23,24,25,26,28,30,32,2021-05-01,day
EE,51,36,39,41,43,45,46,47,48,49,50,50,51,52,53,54,55,56,57,58,59,62,64,66,2021-05-01,day
ES,356,0,0,0,0,32,93,146,192,236,277,317,356,395,435,476,520,567,619,680,756,870,968,1083,2021-05-01,day
FI,12,0,1,3,5,6,8,9,9,10,11,12,12,13,14,14,15,16,17,18,19,22,23,25,2021-05-01,day
FR,1904,1326,1417,1495,1585,1646,1695,1736,1774,1808,1841,1873,1904,1935,1967,1999,2034,2071,2113,2161,2222,2312,2391,2482,2021-05-01,day
GB,100,0,0,0,0,0,0,9,29,48,66,83,100,117,134,152,171,191,213,240,273,322,364,414,2021-05-01,day
GR,552,497,506,513,522,528,532,536,540,543,546,549,552,555,558,561,564,568,572,576,582,591,598,607,2021-05-01,day
HR,313,276,282,287,293,297,300,303,305,307,309,311,313,315,317,320,322,324,327,330,334,340,345,351,2021-05-01,day
HU,1448,1276,1303,1326,1353,1371,1385,1398,1409,1419,1429,1438,1448,1457,1466,1476,1486,1498,1510,1524,1542,1569,1593,1620,2021-05-01,day
IE,44,0,5,11,19,24,27,31,34,37,39,42,44,47,49,52,55,58,61,65,70,77,83,91,2021-05-01,day
IS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2021-05-01,day
IT,2101,1725,1784,1835,1894,1934,1965,1992,2016,2039,2060,2081,2101,2121,2142,2163,2186,2210,2237,2269,2308,2367,2418,2477,2021-05-01,day
LI,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2021-05-01,day
LT,95,80,82,84,86,88,89,90,91,92,93,94,95,95,96,97,98,99,100,101,103,105,107,109,2021-05-01,day
LU,7,0,1,2,3,3,4,5,5,5,6,6,7,7,7,8,8,9,9,10,10,12,12,14,2021-05-01,day
LV,52,42,44,45,47,47,48,49,50,50,51,51,52,52,53,53,54,54,55,56,57,58,59,61,2021-05-01,day
MT,2,0,0,0,0,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,5,5,2021-05-01,day
NL,125,76,84,90,98,103,107,111,114,117,120,122,125,127,130,133,136,139,143,147,152,160,166,174,2021-05-01,day
NO,27,23,23,24,25,25,25,26,26,26,27,27,27,27,27,28,28,28,29,29,29,30,31,31,2021-05-01,day
PL,3562,3196,3253,3303,3360,3399,3430,3456,3480,3502,3523,3543,3562,3582,3602,3623,3645,3669,3695,3726,3765,3822,3872,3929,2021-05-01,day
PT,33,0,0,1,8,13,17,20,23,26,28,31,33,35,38,40,43,46,49,53,57,64,70,78,2021-05-01,day
RO,1166,1021,1044,1063,1086,1101,1113,1124,1133,1142,1150,1158,1166,1173,1181,1190,1198,1208,1218,1230,1245,1268,1288,1311,2021-05-01,day
SE,135,66,77,86,97,104,110,115,120,124,128,131,135,139,143,147,151,155,160,166,173,184,194,205,2021-05-01,day
SI,41,14,18,22,26,29,31,33,35,37,38,40,41,43,44,46,48,49,51,54,57,61,65,69,2021-05-01,day
SK,410,312,327,340,356,366,374,382,388,394,399,405,410,415,421,426,432,439,446,454,464,480,493,509,2021-05-01,day
