location,forecast_USC-SIkJalpha,0.025,0.25,0.75,0.975,target_date,type
AT,112,33,87,143,410,2021-11-06,day
BG,1030,304,793,1310,3758,2021-11-06,day
CZ,404,119,311,514,1475,2021-11-06,day
DK,20,6,15,25,72,2021-11-06,day
EE,138,41,106,175,502,2021-11-06,day
FR,150,44,116,191,548,2021-11-06,day
GB,1154,340,889,1467,4209,2021-11-06,day
GR,377,111,291,480,1376,2021-11-06,day
HR,223,66,171,283,812,2021-11-06,day
IT,260,77,200,331,949,2021-11-06,day
LT,278,82,214,353,1012,2021-11-06,day
LV,320,94,246,406,1166,2021-11-06,day
NL,159,47,122,201,578,2021-11-06,day
NO,4,1,3,5,14,2021-11-06,day
PL,806,238,621,1025,2940,2021-11-06,day
SI,48,14,37,62,177,2021-11-06,day
