location,forecast_UVA-Ensemble,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,17,4,6,7,8,9,9,11,13,14,16,17,17,17,18,20,20,22,23,25,27,32,35,39,2021-09-04,day
BE,33,12,15,17,19,21,23,24,26,30,31,32,33,34,36,39,40,41,44,47,51,59,65,71,2021-09-04,day
BG,313,163,191,210,234,249,261,279,282,289,296,305,313,321,329,339,348,359,374,399,419,451,468,512,2021-09-04,day
CH,31,9,11,14,17,19,22,23,25,26,27,29,31,32,33,35,35,36,36,36,39,42,46,49,2021-09-04,day
CY,15,7,8,9,10,11,12,12,12,12,13,14,15,17,19,19,20,20,20,20,22,25,27,31,2021-09-04,day
CZ,12,1,2,4,6,6,8,8,10,10,11,12,12,14,15,16,16,17,18,19,21,24,28,34,2021-09-04,day
DE,197,85,100,110,126,135,147,154,168,182,193,195,197,199,205,218,220,222,233,246,262,283,306,333,2021-09-04,day
DK,9,3,4,4,5,6,7,7,8,8,9,9,9,10,11,11,12,12,13,14,15,18,19,22,2021-09-04,day
EE,5,0,1,1,2,2,3,3,4,4,4,5,5,6,6,7,7,8,8,8,8,10,11,13,2021-09-04,day
ES,715,265,327,384,460,511,554,579,612,642,666,692,715,741,768,796,828,864,907,982,1054,1162,1220,1312,2021-09-04,day
FI,11,3,3,4,5,6,7,8,8,9,9,10,11,12,13,14,14,15,16,18,20,23,26,29,2021-09-04,day
FR,627,261,285,314,348,383,420,455,488,522,556,590,627,663,682,702,726,757,793,842,927,979,1025,1202,2021-09-04,day
GB,782,527,559,586,618,656,688,704,720,737,754,768,782,836,853,868,884,904,924,940,952,1002,1038,1078,2021-09-04,day
GR,227,132,158,166,178,181,190,197,204,208,212,218,227,235,241,246,254,262,268,272,282,304,317,352,2021-09-04,day
HR,31,13,15,17,20,22,23,24,25,26,28,29,31,32,33,33,34,34,36,39,41,44,46,52,2021-09-04,day
HU,8,1,2,3,4,5,5,6,6,7,7,8,8,9,11,11,11,11,12,12,14,16,18,21,2021-09-04,day
IE,20,4,6,8,10,11,12,13,15,16,17,19,20,21,22,23,23,25,27,30,34,40,45,49,2021-09-04,day
IS,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,5,2021-09-04,day
IT,379,214,227,254,313,317,323,327,329,342,354,368,379,384,399,423,437,451,467,480,494,517,540,564,2021-09-04,day
LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2021-09-04,day
LT,55,29,32,34,38,41,43,46,48,50,52,53,55,57,59,60,60,60,62,65,69,75,81,86,2021-09-04,day
LU,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,3,3,4,4,5,6,7,2021-09-04,day
LV,7,0,0,1,2,2,3,4,4,5,6,6,7,8,8,8,8,9,10,11,11,13,15,18,2021-09-04,day
MT,4,0,0,1,2,2,2,3,3,3,3,4,4,4,4,4,5,5,6,6,7,8,10,11,2021-09-04,day
NL,50,21,24,27,32,33,35,38,40,43,45,47,50,51,53,55,57,62,65,68,72,79,83,90,2021-09-04,day
NO,4,0,0,0,1,1,2,2,2,3,3,4,4,5,5,5,6,6,6,7,9,12,14,18,2021-09-04,day
PL,24,7,8,10,12,14,14,18,18,20,22,23,24,26,26,26,27,29,30,32,36,40,45,52,2021-09-04,day
PT,76,42,49,53,57,62,68,69,71,71,72,73,76,80,83,85,87,89,92,94,98,104,108,113,2021-09-04,day
RO,148,73,83,92,117,123,128,132,135,138,142,145,148,151,154,162,171,179,185,191,199,213,225,242,2021-09-04,day
SE,15,1,2,4,5,6,7,8,10,11,12,14,15,17,18,19,21,22,24,26,29,34,39,48,2021-09-04,day
SI,11,2,3,4,6,7,8,9,9,10,10,10,11,13,13,13,13,14,14,15,16,19,20,22,2021-09-04,day
SK,3,0,0,0,0,0,1,1,1,1,2,2,3,3,4,4,4,4,5,5,6,7,8,10,2021-09-04,day
