location,forecast_EuroCOVIDhub-baseline,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,20375,6347,8975,11319,14349,17133,18174,18704,19112,19691,20000,20272,20375,20475,20738,21048,21636,22035,22569,23622,26397,29468,31795,34415,2021-04-03,day
BE,22620,0,0,0,11962,17041,18969,19855,20673,21385,21939,22303,22620,22926,23286,23829,24534,25354,26246,28178,33302,50651,57072,69661,2021-04-03,day
BG,24602,17263,18048,18626,20999,22403,23290,23651,24126,24332,24455,24548,24602,24656,24749,24879,25085,25559,25918,26800,28212,30574,31158,31879,2021-04-03,day
CH,9964,0,0,0,3277,6106,7550,8238,8793,9316,9660,9844,9964,10086,10272,10612,11143,11687,12397,13828,16641,21169,24157,28471,2021-04-03,day
CY,2605,668,1147,1679,2020,2183,2327,2451,2530,2561,2580,2596,2605,2614,2630,2649,2682,2763,2884,3028,3192,3529,4055,4534,2021-04-03,day
CZ,67298,36109,40120,44623,50520,55261,60317,62776,64748,65764,66801,67144,67298,67451,67792,68831,69846,71828,74258,79324,84067,89984,94485,98504,2021-04-03,day
DE,99369,51766,58958,66040,74695,81358,87498,90615,93952,96093,97506,98547,99369,100222,101239,102622,104813,108115,111167,117390,124265,132806,139904,146180,2021-04-03,day
DK,4930,0,0,396,2368,3191,3759,4048,4313,4576,4727,4849,4930,5010,5132,5288,5553,5820,6106,6674,7496,9459,10708,12066,2021-04-03,day
EE,10156,8161,8663,9234,9631,9731,9873,9999,10055,10091,10117,10138,10156,10175,10195,10222,10256,10313,10438,10579,10681,11083,11644,12147,2021-04-03,day
ES,28628,0,0,0,0,0,7498,13799,18399,21913,24584,26560,28628,30665,32675,35453,38967,43544,49802,59008,71036,97334,112300,124162,2021-04-03,day
FI,5117,4103,4263,4409,4595,4718,4809,4893,4963,5020,5055,5094,5117,5141,5180,5215,5273,5341,5425,5516,5637,5825,5969,6125,2021-04-03,day
FR,205091,65153,105095,121002,151053,172761,186500,192183,195841,199100,201646,203571,205091,206613,208527,211178,214498,217990,223620,237441,258612,289244,304930,345452,2021-04-03,day
GB,37451,0,0,0,0,1688,15234,23935,27846,32562,34833,36256,37451,38635,40055,42261,47057,50976,59727,73299,92640,115907,122486,138105,2021-04-03,day
GR,16090,10417,11517,12466,13758,14277,14852,15503,15754,15885,15976,16041,16090,16140,16206,16295,16425,16673,17315,17896,18409,19707,20675,21817,2021-04-03,day
HR,6321,0,564,1751,3955,4810,5333,5680,5864,6092,6209,6278,6321,6365,6434,6552,6780,6968,7313,7840,8698,10893,12020,13933,2021-04-03,day
HU,53344,40472,41862,43598,46383,49191,50626,51559,52244,53003,53212,53299,53344,53391,53481,53700,54459,55126,56045,57489,60257,63088,64849,66278,2021-04-03,day
IE,3473,0,0,0,503,1518,2184,2489,2735,3014,3263,3388,3473,3560,3684,3929,4213,4459,4775,5432,6429,11006,17236,25321,2021-04-03,day
IS,25,0,0,0,0,0,0,0,2,12,18,22,25,28,32,38,48,65,78,102,170,228,280,330,2021-04-03,day
IT,154493,88363,101498,109116,126784,134371,141601,146916,149482,151155,152806,153852,154493,155192,156220,157811,159467,161983,167275,174579,182298,200063,207220,220445,2021-04-03,day
LI,25,0,0,0,0,0,4,12,18,22,23,24,25,26,27,28,32,38,46,58,82,99,112,138,2021-04-03,day
LT,3696,0,0,548,1336,2317,2859,3115,3377,3580,3639,3673,3696,3719,3752,3810,4010,4272,4528,5079,6070,6848,7461,8030,2021-04-03,day
LU,1452,0,0,70,802,1017,1137,1209,1278,1333,1378,1417,1452,1486,1526,1572,1628,1697,1770,1890,2102,2832,3012,3239,2021-04-03,day
LV,3665,2410,2646,2789,3037,3233,3367,3460,3540,3607,3638,3654,3665,3676,3693,3725,3792,3872,3964,4093,4292,4541,4679,4910,2021-04-03,day
MT,1637,1083,1171,1256,1360,1440,1490,1521,1551,1585,1608,1627,1637,1649,1666,1690,1725,1753,1784,1834,1915,2013,2102,2189,2021-04-03,day
NL,43362,21366,24802,27043,31121,35117,37369,39372,40431,41576,42440,42941,43362,43759,44273,45140,46274,47332,49312,51582,55578,59666,62016,65720,2021-04-03,day
NO,6562,4728,5090,5274,5525,5832,6052,6204,6324,6405,6479,6535,6562,6589,6646,6720,6800,6920,7075,7289,7603,7845,8030,8379,2021-04-03,day
PL,147340,98202,103248,110506,125109,131317,136974,141494,144667,146295,146727,147095,147340,147598,147957,148387,149992,153102,157649,163456,169615,184166,191463,196511,2021-04-03,day
PT,3364,0,0,0,0,0,0,782,1722,2409,2887,3175,3364,3558,3839,4314,5002,5954,8416,10312,12971,22861,29282,35611,2021-04-03,day
RO,37522,21601,25748,28302,30652,32013,33405,35178,36292,36778,37107,37334,37522,37718,37945,38275,38755,39874,41679,43065,44386,46706,49243,53195,2021-04-03,day
SE,31745,13472,16160,20527,24251,27100,28669,29875,30552,30983,31289,31536,31745,31957,32213,32516,32949,33630,34861,36391,39233,42932,47306,50010,2021-04-03,day
SI,5655,1069,1471,1889,4163,4626,4975,5354,5468,5545,5595,5632,5655,5678,5716,5765,5842,5961,6342,6685,7142,9396,9833,10236,2021-04-03,day
SK,11709,6120,7091,7635,8841,9621,10164,10755,11345,11545,11634,11678,11709,11739,11782,11868,12058,12662,13257,13797,14595,15800,16334,17302,2021-04-03,day
