location,forecast_JBUD-HMXK,target_date,type
AT,95923,2021-12-04,day
CZ,89997,2021-12-04,day
DE,508227,2021-12-04,day
DK,37141,2021-12-04,day
ES,37981,2021-12-04,day
FI,10476,2021-12-04,day
FR,141314,2021-12-04,day
GR,31651,2021-12-04,day
HU,36821,2021-12-04,day
IE,25185,2021-12-04,day
IT,98979,2021-12-04,day
LT,8685,2021-12-04,day
LV,2860,2021-12-04,day
NL,156660,2021-12-04,day
NO,19031,2021-12-04,day
PL,159275,2021-12-04,day
PT,13413,2021-12-04,day
SE,8100,2021-12-04,day
SI,12987,2021-12-04,day
SK,47229,2021-12-04,day
