location,forecast_Karlen-pypm,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,17273,8723,9605,10536,11694,12784,13674,14414,14903,15482,16073,16654,17198,17670,18426,19019,19690,20446,21414,22895,24268,26307,27822,30057,2021-09-11,day
BE,13057,9577,10031,10398,10823,11276,11551,11856,12084,12328,12551,12731,12990,13200,13458,13620,13896,14173,14449,14836,15355,16055,16699,17509,2021-09-11,day
BG,22319,8023,9795,11215,13355,14826,16310,17261,18232,19362,20393,21478,22480,23399,24692,25992,27611,28816,30851,32643,35304,40012,44528,49955,2021-09-11,day
CH,18894,11601,13172,13949,15030,15729,16422,16934,17393,17867,18205,18571,18990,19332,19723,20303,20837,21401,22094,23018,24133,25591,26623,28719,2021-09-11,day
CY,1061,345,430,527,607,686,766,819,866,918,956,1010,1074,1130,1188,1243,1303,1381,1498,1624,1770,2118,2278,2647,2021-09-11,day
CZ,1415,690,805,879,976,1054,1123,1182,1227,1274,1319,1368,1435,1476,1529,1584,1642,1712,1791,1900,2021,2169,2369,2623,2021-09-11,day
DE,158627,79562,87875,95715,107358,117792,126859,133484,139293,144738,150070,155254,160104,167407,173058,179098,184854,194806,206489,216387,229572,257152,274835,300447,2021-09-11,day
DK,5759,1460,1836,2306,2872,3280,3649,4012,4322,4623,4940,5339,5672,6138,6527,6994,7416,7896,8423,9087,10215,12102,13325,15597,2021-09-11,day
EE,2777,1363,1510,1678,1875,2015,2157,2274,2387,2495,2607,2680,2786,2857,2963,3082,3205,3326,3471,3683,3992,4435,4890,5241,2021-09-11,day
ES,24035,14193,15432,16400,17801,19084,20073,20774,21472,22301,22802,23452,24138,24940,25653,26348,27005,27762,28930,30168,31704,33584,35569,38224,2021-09-11,day
FI,2587,938,1138,1299,1559,1727,1877,2000,2118,2257,2405,2512,2627,2720,2858,2978,3108,3260,3409,3667,4008,4633,5021,5611,2021-09-11,day
FR,75080,36605,43517,46075,53661,57081,60463,63138,66102,68312,70527,72910,74694,76933,79692,82428,85020,87945,90912,95374,100610,108235,116273,121280,2021-09-11,day
GB,222205,117646,130178,142181,159468,167974,178153,186431,195337,204016,211302,217747,224927,232259,237999,246505,254212,262019,272112,287176,304383,325316,345934,371042,2021-09-11,day
GR,21427,14290,15143,16110,16994,17715,18228,18780,19268,19824,20312,20728,21259,21752,22177,22719,23200,24001,24821,25618,26657,28309,30071,31980,2021-09-11,day
HR,6888,2881,3133,3586,4162,4679,4978,5373,5659,5949,6296,6625,6876,7206,7499,7858,8249,8754,9191,9846,10639,11981,13016,15122,2021-09-11,day
HU,2741,596,788,977,1259,1441,1603,1827,2014,2221,2363,2524,2724,2953,3183,3496,3749,4048,4460,4909,5557,5969,6212,6475,2021-09-11,day
IE,11555,8065,8671,9079,9556,9865,10196,10452,10742,10967,11263,11472,11690,11878,12076,12297,12596,12910,13207,13600,14078,14758,15387,16226,2021-09-11,day
IT,41755,17708,20087,23952,27667,30091,31783,33564,35213,37120,39233,40594,41872,43444,45470,47381,49516,51396,53888,56628,60131,67186,72782,82135,2021-09-11,day
LT,4558,2373,2602,2868,3216,3436,3637,3808,3957,4104,4222,4372,4544,4724,4914,5087,5269,5445,5663,5964,6314,6779,7353,8028,2021-09-11,day
LU,1042,415,461,550,646,711,766,817,868,906,960,1013,1058,1125,1181,1226,1288,1361,1426,1517,1689,1834,1979,2202,2021-09-11,day
LV,1915,1061,1165,1277,1399,1478,1542,1602,1668,1725,1770,1830,1908,1966,2023,2095,2162,2242,2313,2429,2606,2871,3118,3379,2021-09-11,day
NL,14785,6690,8039,8832,10127,10732,11314,11830,12516,13197,13626,14232,14874,15453,16102,16729,17371,17948,18927,19988,21119,23188,25235,27727,2021-09-11,day
NO,14858,6743,7439,8267,9456,10357,11137,11947,12511,12956,13569,14329,14876,15632,16289,16917,17695,18460,19413,20401,22191,24191,26769,29043,2021-09-11,day
PL,2133,1064,1176,1260,1443,1549,1630,1723,1803,1886,1959,2040,2110,2191,2270,2377,2500,2618,2739,2873,3109,3504,3759,4395,2021-09-11,day
PT,11326,4362,5192,5766,6985,7685,8281,8752,9372,9890,10389,10806,11350,11996,12681,13387,14053,14750,15684,16752,18270,20465,22156,23505,2021-09-11,day
RO,12940,6694,7811,8467,9201,9757,10363,10906,11328,11775,12118,12462,12898,13312,13728,14164,14708,15248,15876,16550,17382,18998,20522,22904,2021-09-11,day
SE,6767,2530,2996,3535,4140,4634,4964,5222,5531,5879,6165,6426,6736,6997,7319,7661,8058,8425,8889,9361,10083,11032,11971,12849,2021-09-11,day
SI,6551,4016,4353,4610,5029,5315,5545,5722,5957,6112,6263,6418,6568,6693,6851,7074,7259,7442,7701,7966,8311,9060,9658,10265,2021-09-11,day
SK,852,310,343,402,499,552,599,640,675,726,763,802,842,894,941,1004,1061,1126,1183,1287,1448,1642,1865,2101,2021-09-11,day
