location,forecast_MUNI-ARIMA,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,4892,974,1406,1779,2321,2789,3125,3453,3742,4013,4288,4585,4892,5186,5479,5821,6128,6505,6971,7593,8339,9593,10904,12562,2021-08-21,day
BE,12101,0,339,2295,4530,6015,7072,8070,8933,9778,10525,11283,12101,12868,13765,14688,15763,16940,18413,20221,22823,26844,30850,36174,2021-08-21,day
BG,5620,974,1541,2001,2671,3176,3612,3996,4338,4662,4995,5309,5620,5946,6301,6697,7098,7556,8075,8749,9598,11157,12510,14521,2021-08-21,day
CH,7398,957,2009,2906,3890,4518,4979,5505,5919,6293,6651,7051,7398,7777,8178,8563,9068,9568,10260,10999,12278,13969,15590,17493,2021-08-21,day
CY,3246,509,882,1251,1704,2048,2288,2454,2647,2803,2948,3098,3246,3396,3547,3751,3935,4192,4458,4768,5219,5974,6774,7628,2021-08-21,day
CZ,1889,0,0,0,0,6,220,459,691,947,1245,1545,1889,2297,2674,3128,3657,4397,5224,6231,7706,10197,13129,16766,2021-08-21,day
DE,31305,4487,7633,10464,14328,17266,19423,21408,23500,25440,27357,29325,31305,33330,35256,37360,39685,42039,45003,48392,53085,61127,68284,77778,2021-08-21,day
DK,6388,1979,2515,3069,3771,4175,4550,4908,5213,5517,5806,6103,6388,6667,6974,7285,7652,8046,8537,9034,9726,10822,11879,13005,2021-08-21,day
EE,1874,625,771,906,1110,1240,1360,1462,1543,1625,1706,1794,1874,1957,2032,2121,2230,2343,2468,2611,2786,3098,3424,3870,2021-08-21,day
ES,129242,64155,77128,86113,96359,102620,107500,111748,115657,119061,122174,125452,129242,132465,136009,139971,144752,149285,154349,160894,169419,184709,199115,216687,2021-08-21,day
FI,3399,1516,1867,2100,2390,2568,2722,2865,2979,3082,3193,3296,3399,3509,3623,3750,3864,3991,4141,4326,4557,4886,5159,5580,2021-08-21,day
FR,120974,6201,22469,35415,52112,63527,73532,82323,90962,99105,106300,113800,120974,128542,137349,145805,155931,168422,181831,196056,215652,249914,282831,329595,2021-08-21,day
GB,200475,94967,112152,124135,139479,150183,158760,166586,174086,180274,187339,193478,200475,207002,213005,220587,228260,237334,247842,260318,275881,297065,321208,348268,2021-08-21,day
GR,20504,11755,13112,14008,15301,16239,16964,17612,18192,18770,19326,19945,20504,21067,21656,22301,23028,23816,24637,25749,27102,29258,31268,34319,2021-08-21,day
HR,1791,70,167,315,516,707,885,1041,1194,1336,1488,1640,1791,1982,2169,2340,2542,2784,3054,3428,3950,4724,5562,6461,2021-08-21,day
HU,328,0,0,0,0,0,0,0,0,25,118,220,328,449,599,760,986,1212,1508,1925,2533,3633,4803,6313,2021-08-21,day
IE,11879,3185,4276,5176,6432,7410,8111,8764,9351,9985,10583,11321,11879,12514,13178,13831,14568,15439,16441,17619,19268,22127,24681,28384,2021-08-21,day
IS,753,233,291,345,415,475,516,561,602,638,676,711,753,792,835,880,929,983,1044,1119,1230,1412,1573,1809,2021-08-21,day
IT,49019,14572,19690,23717,29081,32633,35684,38141,40732,42772,44937,47059,49019,51391,53570,55820,58336,61352,64290,68442,72982,81031,88314,99228,2021-08-21,day
LI,28,0,0,2,6,9,12,14,17,20,22,25,28,31,34,38,42,47,52,60,68,83,98,114,2021-08-21,day
LT,6213,2324,2847,3310,3854,4264,4644,4946,5209,5500,5749,5986,6213,6466,6719,6961,7229,7521,7839,8256,8784,9566,10342,11146,2021-08-21,day
LU,475,0,0,48,135,192,243,286,324,361,399,434,475,515,564,615,672,730,805,904,1048,1266,1498,1770,2021-08-21,day
LV,684,158,210,274,344,395,441,484,528,571,611,650,684,721,762,810,854,913,974,1052,1145,1307,1455,1638,2021-08-21,day
MT,426,36,69,104,152,193,234,267,301,332,362,393,426,462,498,542,585,638,698,764,874,1015,1171,1339,2021-08-21,day
NL,13885,1072,1926,3113,4671,6018,7177,8356,9458,10591,11664,12762,13885,15118,16406,17608,19073,20880,22931,25428,28659,33626,38388,45658,2021-08-21,day
NO,3216,995,1400,1679,2003,2221,2402,2537,2677,2821,2950,3070,3216,3344,3473,3598,3746,3907,4087,4308,4585,5022,5427,5869,2021-08-21,day
PL,1704,0,0,0,0,0,33,237,468,739,1034,1367,1704,2124,2627,3237,3824,4599,5616,6710,8257,11552,14720,19337,2021-08-21,day
PT,14340,3058,4378,5447,7036,8179,9155,10115,10935,11855,12691,13501,14340,15260,16159,17051,18047,19221,20471,22066,24229,27296,30729,33982,2021-08-21,day
RO,2574,0,131,335,694,979,1247,1482,1693,1916,2130,2339,2574,2813,3057,3310,3632,3943,4353,4913,5660,7085,8365,9866,2021-08-21,day
SE,4893,0,0,0,1000,2189,2857,3301,3684,4030,4336,4611,4893,5203,5504,5877,6263,6751,7314,8266,9517,12309,15469,19518,2021-08-21,day
SI,1196,0,29,126,261,398,514,630,729,844,954,1074,1196,1336,1480,1626,1799,2006,2235,2473,2830,3410,3962,4637,2021-08-21,day
SK,320,0,0,0,0,0,15,61,110,158,205,259,320,383,454,533,630,726,848,1006,1245,1651,2109,2627,2021-08-21,day
