location,forecast_RobertWalraven-ESG,0.025,0.1,0.25,0.5,0.75,0.9,0.975,target_date,type
AT,22453,18371,19785,21050,22453,23857,25122,26535,2021-04-17,day
BE,34907,25591,28816,31703,34907,38111,40999,44224,2021-04-17,day
BG,25672,21846,23171,24356,25672,26988,28173,29497,2021-04-17,day
CH,9661,4967,6592,8047,9661,11276,12731,14356,2021-04-17,day
CY,2299,1824,1988,2136,2299,2463,2610,2775,2021-04-17,day
CZ,18033,3150,8302,12915,18033,23152,27764,32916,2021-04-17,day
DE,102242,83676,90103,95857,102242,108628,114382,120809,2021-04-17,day
DK,4141,2322,2952,3515,4141,4766,5330,5959,2021-04-17,day
EE,4248,3448,3725,3973,4248,4523,4771,5048,2021-04-17,day
ES,34539,10997,19147,26443,34539,42635,49931,58080,2021-04-17,day
FI,2751,2121,2339,2535,2751,2968,3163,3381,2021-04-17,day
FR,307493,264993,279705,292877,307493,322110,335282,349994,2021-04-17,day
GB,24504,1712,9602,16666,24504,32343,39406,47296,2021-04-17,day
GR,20701,19218,19731,20191,20701,21211,21670,22184,2021-04-17,day
HR,16017,13694,14498,15218,16017,16816,17536,18340,2021-04-17,day
HU,52526,41028,45008,48572,52526,56480,60043,64023,2021-04-17,day
IE,3435,1867,2409,2895,3435,3974,4460,5003,2021-04-17,day
IS,52,31,39,45,52,60,66,73,2021-04-17,day
IT,137775,122096,127524,132383,137775,143167,148026,153454,2021-04-17,day
LI,25,9,15,20,25,31,35,41,2021-04-17,day
LT,5715,4649,5018,5349,5715,6082,6413,6782,2021-04-17,day
LU,1082,549,734,899,1082,1265,1430,1614,2021-04-17,day
LV,3144,2638,2813,2970,3144,3318,3475,3650,2021-04-17,day
MT,141,0,0,55,141,226,303,390,2021-04-17,day
NL,52330,48502,49827,51013,52330,53646,54833,56158,2021-04-17,day
NO,5574,3995,4541,5031,5574,6117,6607,7153,2021-04-17,day
PL,220813,186747,198540,209097,220813,232529,243087,254879,2021-04-17,day
PT,1179,0,0,350,1179,2008,2755,3590,2021-04-17,day
RO,38175,34769,35948,37004,38175,39347,40402,41581,2021-04-17,day
SE,27205,21384,23399,25203,27205,29207,31011,33026,2021-04-17,day
SI,8680,7663,8015,8330,8680,9030,9346,9698,2021-04-17,day
SK,4087,2315,2928,3478,4087,4697,5246,5860,2021-04-17,day
