location,forecast_epiforecasts-EpiNow2,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,7311,4341,4482,4671,5018,5352,5646,5908,6207,6466,6749,6984,7311,7613,7907,8296,8693,9163,9734,10371,11287,12502,13330,14109,2021-12-25,day
BE,48818,5426,6406,8321,11923,15266,18971,22651,26774,32239,37593,42562,48818,56187,64111,73457,82043,92567,107640,127151,147579,186620,208224,231864,2021-12-25,day
BG,8075,4590,4860,5104,5565,5943,6285,6590,6877,7203,7502,7786,8075,8345,8688,9045,9448,9926,10471,11138,12001,13287,14172,15047,2021-12-25,day
CH,81923,31473,33456,37348,43330,48801,53461,57708,62890,67959,71990,77092,81923,87197,93474,99452,106112,114273,124295,135490,146435,163692,176846,183384,2021-12-25,day
CY,7544,1571,1712,2099,2689,3173,3706,4298,4916,5507,6090,6749,7544,8378,9415,10535,11942,13605,15613,18304,21659,26707,30143,32895,2021-12-25,day
CZ,63437,16525,17934,20393,25419,30372,34954,39237,43925,48777,53001,57501,63437,70319,76218,83052,90793,99406,108051,120448,133476,153412,164906,176199,2021-12-25,day
DE,304128,106152,114135,126790,149224,170686,189973,209264,228953,247446,265737,284994,304128,328813,354451,378730,408161,440271,478560,523041,580858,660649,715000,754593,2021-12-25,day
DK,56688,40380,41226,42585,44932,46781,48468,50008,51390,52656,53953,55378,56688,58420,59985,61630,63500,65710,68089,70765,74841,80307,84256,86971,2021-12-25,day
EE,3435,1765,1858,1980,2180,2376,2533,2689,2839,2981,3110,3270,3435,3615,3813,4019,4275,4525,4871,5253,5744,6531,7080,7473,2021-12-25,day
ES,156022,31972,36150,42312,54467,66283,75024,86393,97527,109937,123885,140406,156022,175665,197418,220622,251754,283017,319495,368540,448971,566044,662092,757091,2021-12-25,day
FI,8740,1135,1332,1600,2157,2779,3476,4203,4996,5790,6577,7565,8740,10088,11805,13712,16268,19689,24591,31494,40713,60328,80082,93033,2021-12-25,day
FR,678043,220713,241108,273178,328441,373302,414062,458128,493257,540099,583035,629800,678043,723879,783867,850427,920258,988900,1072441,1174891,1316255,1533103,1684006,1791025,2021-12-25,day
GB,480782,322264,332620,345998,366740,385066,399637,414919,427968,442759,454833,466557,480782,495894,509849,527675,545041,565379,584467,608522,642860,679556,702034,724308,2021-12-25,day
GR,28144,18014,18789,19774,21155,22427,23497,24228,25056,25760,26542,27365,28144,28960,29908,30887,31990,33026,34179,35651,37677,40358,42380,43750,2021-12-25,day
HR,14435,7681,8073,8497,9343,10026,10732,11414,11889,12540,13179,13792,14435,15016,15717,16397,17330,18339,19520,20699,22251,24261,25814,27812,2021-12-25,day
HU,14433,7816,8106,8649,9497,10329,10987,11641,12190,12718,13305,13814,14433,15079,15710,16390,17177,18025,19143,20416,21790,23984,25254,26087,2021-12-25,day
IE,21887,13942,14364,15132,16147,17011,17742,18475,19221,19903,20580,21221,21887,22505,23211,23889,24631,25359,26189,27219,28412,29924,30916,31806,2021-12-25,day
IS,651,346,365,388,423,454,483,512,536,568,594,622,651,680,712,749,785,831,884,942,1026,1149,1243,1317,2021-12-25,day
IT,142554,93177,96172,101236,107939,113119,118040,122639,126391,130318,134077,138239,142554,146451,150345,154381,159317,164549,169611,176904,184847,198132,204872,211112,2021-12-25,day
LI,365,63,71,89,119,150,180,206,234,260,291,323,365,402,438,484,534,601,667,736,835,997,1090,1143,2021-12-25,day
LT,9919,6237,6518,6857,7331,7721,8123,8476,8778,9046,9327,9627,9919,10259,10607,11028,11399,11797,12233,12754,13415,14217,14779,15320,2021-12-25,day
LU,3320,1410,1518,1695,1942,2123,2326,2489,2666,2830,2987,3141,3320,3491,3698,3901,4113,4366,4627,4972,5464,6081,6636,7147,2021-12-25,day
LV,3782,1834,1938,2071,2310,2521,2700,2897,3078,3236,3404,3577,3782,3985,4210,4445,4665,4918,5196,5595,6143,6948,7409,7756,2021-12-25,day
MT,565,238,254,278,321,356,387,418,444,473,502,531,565,599,635,674,728,788,848,934,1033,1213,1303,1401,2021-12-25,day
NL,73735,48262,49930,51951,55515,58267,60889,63329,65212,67587,69590,71322,73735,76100,78814,81690,84683,87843,91561,95468,101043,109094,113010,117007,2021-12-25,day
NO,54129,24991,26054,28105,31422,34479,37127,40171,42840,45696,48458,51335,54129,57111,60357,63490,66766,70831,76522,82590,89855,100428,109486,114524,2021-12-25,day
PL,120482,79053,81063,84912,90220,95091,99742,103591,106970,110445,113893,117376,120482,123954,127319,130985,135130,139655,144522,149748,157027,166652,173483,178146,2021-12-25,day
PT,31331,18676,19426,20162,22024,23531,24797,25931,26980,27958,29004,30240,31331,32286,33421,34690,36152,37576,39359,40970,42992,46021,49022,50624,2021-12-25,day
RO,1817,661,716,799,920,1045,1176,1288,1406,1511,1625,1714,1817,1940,2084,2262,2414,2573,2804,3101,3440,3910,4194,4449,2021-12-25,day
SE,24090,12131,12920,13748,15229,16686,18012,18989,19907,20801,21882,22917,24090,25184,26080,27252,28650,30121,31847,33922,36774,41463,44407,47085,2021-12-25,day
SI,5058,2644,2760,2947,3261,3492,3733,3982,4184,4380,4556,4780,5058,5293,5551,5821,6133,6490,6910,7355,7965,8906,9526,10086,2021-12-25,day
SK,20500,7783,8192,8897,10492,12188,14042,15340,16623,17712,18625,19551,20500,21518,22508,23506,24454,25463,26672,28013,29596,31577,32740,33720,2021-12-25,day
