,country,target_date,forecast
0,Finland,2021-09-29,6.101985249906875
1,Iraq,2021-09-29,236.1060551468363
2,Czechia,2021-09-29,3.452559775130794
3,Mauritius,2021-09-29,9.097566127064674
4,Austria,2021-09-29,55.41501089063604
5,Holy See,2021-09-29,0.0
6,Germany,2021-09-29,515.2397580317775
7,Kosovo,2021-09-29,100.32288558997652
8,Serbia,2021-09-29,283.19325297166233
9,"Korea, South",2021-09-29,58.123188292697705
10,Papua New Guinea,2021-09-29,20.198458319596654
11,Cote d'Ivoire,2021-09-29,65.62198250394977
12,Indonesia,2021-09-29,175.19767866947223
13,Namibia,2021-09-29,3.6513616006513985
14,Sri Lanka,2021-09-29,663.8961562381137
15,Grenada,2021-09-29,45.227006388117914
16,Syria,2021-09-29,52.07745560383319
17,Slovakia,2021-09-29,21.26931641378542
18,Jamaica,2021-09-29,74.17100579406815
19,Qatar,2021-09-29,0.8038597438450097
20,Trinidad and Tobago,2021-09-29,43.22731536148717
21,Chad,2021-09-29,0.0
22,Colombia,2021-09-29,199.17089902037696
23,Madagascar,2021-09-29,0.0
24,Israel,2021-09-29,201.46971693749492
25,New Zealand,2021-09-29,0.23116248313659327
26,Niger,2021-09-29,0.07870846378054352
27,Switzerland,2021-09-29,66.47366904891169
28,Togo,2021-09-29,1.3659477031464178
29,Vietnam,2021-09-29,1528.1637121808417
30,Seychelles,2021-09-29,0.0
31,Gambia,2021-09-29,0.0
32,Mongolia,2021-09-29,153.64732064866507
33,Burma,2021-09-29,492.6096030730041
34,Gabon,2021-09-29,7.283982482474471
35,Andorra,2021-09-29,0.0
36,Saint Lucia,2021-09-29,22.901191739289487
37,Lebanon,2021-09-29,122.0282297627673
38,Lithuania,2021-09-29,184.58932283610648
39,Saint Vincent and the Grenadines,2021-09-29,1.082544383645093
40,Senegal,2021-09-29,0.7415116002821378
41,Ghana,2021-09-29,9.348004008361613
42,Nepal,2021-09-29,54.04683279913297
43,Kazakhstan,2021-09-29,179.5441372605619
44,Pakistan,2021-09-29,413.06866152139264
45,Liberia,2021-09-29,0.0
46,Solomon Islands,2021-09-29,0.0
47,Bulgaria,2021-09-29,656.4083938156618
48,Micronesia,2021-09-29,0.0
49,Jordan,2021-09-29,66.94771291563666
50,Mexico,2021-09-29,3975.3037540828227
51,Mauritania,2021-09-29,15.781013516280154
52,Timor-Leste,2021-09-29,9.183179195619914
53,Angola,2021-09-29,18.02302843902453
54,Uganda,2021-09-29,19.015332950459197
55,Turkey,2021-09-29,1501.2632012049435
56,Mali,2021-09-29,0.0
57,Guatemala,2021-09-29,323.38571992323523
58,North Macedonia,2021-09-29,212.86982645479566
59,Uruguay,2021-09-29,10.775195006722242
60,Luxembourg,2021-09-29,3.3164786749852055
61,Kyrgyzstan,2021-09-29,2.638503834254152
62,Albania,2021-09-29,38.380526501300665
63,Nigeria,2021-09-29,81.07582396402222
64,Zambia,2021-09-29,6.18398343994977
65,Venezuela,2021-09-29,67.8944422167142
66,Iran,2021-09-29,2063.5980139950116
67,Brazil,2021-09-29,3822.711362430826
68,Bhutan,2021-09-29,0.0
69,Saudi Arabia,2021-09-29,32.2200706325566
70,Fiji,2021-09-29,0.0
71,United Arab Emirates,2021-09-29,19.42122356875643
72,Central African Republic,2021-09-29,0.026145145525461544
73,Laos,2021-09-29,1.0190591701266563
74,Summer Olympics 2020,2021-09-29,0.0
75,Belize,2021-09-29,31.75973182553423
76,Estonia,2021-09-29,10.334010511214728
77,Singapore,2021-09-29,1.1053163995885313
