location,forecast_EuroCOVIDhub-baseline,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,169,81,93,101,111,119,128,139,144,149,157,164,169,175,182,189,196,203,212,223,239,264,289,323,2021-03-20,day
BE,180,90,102,112,122,130,139,148,154,160,167,174,180,186,193,200,209,216,229,246,262,288,318,354,2021-03-20,day
BG,768,353,420,480,541,578,616,654,678,700,723,746,768,792,816,844,872,903,939,984,1040,1135,1224,1342,2021-03-20,day
CH,64,22,24,28,35,40,43,47,50,53,57,61,64,67,72,76,80,86,92,101,113,133,155,182,2021-03-20,day
CY,6,1,1,1,2,2,2,3,3,4,4,5,6,7,8,10,11,13,17,22,30,49,78,137,2021-03-20,day
CZ,1539,1193,1234,1271,1319,1350,1381,1409,1430,1451,1477,1511,1539,1570,1606,1639,1666,1696,1732,1774,1825,1901,1972,2064,2021-03-20,day
DE,1441,721,818,894,994,1060,1131,1194,1237,1280,1336,1395,1441,1486,1530,1581,1636,1694,1763,1852,1962,2123,2274,2458,2021-03-20,day
DK,14,3,4,5,6,7,8,9,10,10,12,13,14,15,17,19,21,23,26,29,35,46,59,81,2021-03-20,day
EE,84,41,46,50,56,60,64,69,72,74,78,81,84,87,90,93,97,101,107,114,124,141,160,188,2021-03-20,day
ES,911,304,373,445,527,582,629,667,702,737,800,867,911,950,993,1036,1086,1144,1221,1314,1420,1571,1723,1913,2021-03-20,day
FI,19,4,4,5,7,9,10,12,13,15,16,18,19,21,22,24,26,29,32,37,43,56,71,95,2021-03-20,day
FR,1844,971,1094,1183,1284,1353,1463,1572,1623,1684,1740,1800,1844,1886,1938,1988,2042,2104,2175,2276,2399,2562,2718,2954,2021-03-20,day
GB,762,398,426,449,495,532,570,600,627,652,688,728,762,791,824,866,908,956,1011,1079,1167,1301,1425,1587,2021-03-20,day
GR,376,259,278,292,307,317,325,334,340,347,357,369,376,384,399,413,423,433,448,465,488,520,556,597,2021-03-20,day
HR,83,36,41,46,52,56,60,64,67,70,75,80,83,87,91,95,99,104,111,119,130,149,170,198,2021-03-20,day
HU,1342,826,867,910,959,993,1092,1195,1226,1271,1295,1321,1342,1365,1395,1426,1454,1486,1522,1591,1650,1742,1821,1926,2021-03-20,day
IE,92,33,40,49,56,62,66,71,75,79,83,88,92,97,102,108,114,121,130,141,156,184,213,247,2021-03-20,day
IS,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,4,6,8,2021-03-20,day
IT,2545,1926,1998,2065,2146,2199,2263,2323,2363,2401,2449,2507,2545,2585,2656,2734,2779,2829,2895,2982,3058,3174,3290,3430,2021-03-20,day
LI,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,4,6,11,19,40,2021-03-20,day
LT,64,32,36,39,43,46,49,52,54,56,59,62,64,67,69,72,75,79,83,89,96,109,124,145,2021-03-20,day
LU,22,7,8,9,12,13,14,16,17,18,19,21,22,23,25,27,29,31,34,38,45,57,71,94,2021-03-20,day
LV,63,29,32,36,42,45,49,51,54,56,58,61,63,65,68,72,75,79,84,91,100,115,131,154,2021-03-20,day
MT,20,8,9,10,11,12,13,14,15,16,17,19,20,21,23,25,27,29,32,36,42,53,67,92,2021-03-20,day
NL,248,128,142,157,173,182,197,210,218,225,233,241,248,256,265,274,283,295,308,324,346,385,425,487,2021-03-20,day
NO,9,1,1,1,2,2,3,4,5,5,7,8,9,10,11,13,14,17,19,23,29,42,59,88,2021-03-20,day
PL,2178,1264,1334,1397,1474,1533,1674,1814,1897,1967,2040,2110,2178,2251,2328,2404,2481,2574,2691,2804,2948,3167,3355,3582,2021-03-20,day
PT,92,43,50,57,62,67,71,75,79,81,85,89,92,95,100,104,108,114,120,128,139,156,172,196,2021-03-20,day
RO,635,424,450,471,496,515,535,554,566,578,600,623,635,647,662,677,692,707,728,754,782,828,874,928,2021-03-20,day
SE,139,44,53,60,70,79,88,95,102,108,120,132,139,146,159,172,181,192,205,224,253,293,334,387,2021-03-20,day
SI,40,15,18,21,24,26,29,31,32,34,36,38,40,41,43,45,47,51,54,58,65,77,90,110,2021-03-20,day
SK,680,459,490,515,545,567,586,603,618,632,649,667,680,693,709,725,741,758,776,800,829,877,923,980,2021-03-20,day
