location,forecast_EuroCOVIDhub-ensemble,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,16,0,0,0,0,0,0,0,0,3,9,13,16,19,23,29,36,42,51,64,89,137,180,222,2021-09-11,day
BE,40,0,0,0,0,0,0,0,0,10,25,33,40,47,55,70,84,108,145,193,281,528,679,835,2021-09-11,day
BG,238,0,6,58,116,143,168,185,203,219,227,233,238,243,248,257,273,291,308,333,360,419,470,539,2021-09-11,day
CH,24,0,0,0,0,0,0,0,9,15,19,22,24,26,30,33,39,48,62,81,105,159,183,226,2021-09-11,day
CY,20,8,10,11,13,15,16,17,18,19,19,20,20,20,21,21,22,23,24,25,27,29,30,32,2021-09-11,day
CZ,17,0,0,0,0,0,0,0,0,0,4,11,17,23,30,41,60,96,135,175,216,290,355,434,2021-09-11,day
DE,153,0,0,0,0,0,0,0,0,62,103,133,153,173,203,245,322,399,480,578,707,935,1200,1492,2021-09-11,day
DK,13,0,0,0,0,0,3,5,7,9,11,12,13,14,15,17,19,21,23,28,37,53,64,80,2021-09-11,day
EE,6,0,0,0,0,0,1,2,3,4,5,6,6,6,7,8,9,10,11,13,16,21,26,32,2021-09-11,day
ES,864,0,0,0,0,6,322,527,652,729,801,839,864,889,925,996,1078,1202,1405,1721,2046,2392,2975,3727,2021-09-11,day
FI,9,0,0,0,0,0,2,4,5,7,8,8,9,10,11,11,13,14,16,18,22,27,36,64,2021-09-11,day
FR,601,0,0,0,0,47,185,307,395,463,519,566,601,637,685,740,809,898,1018,1155,1362,1731,2120,3030,2021-09-11,day
GB,785,0,0,0,0,36,220,394,577,681,727,762,785,808,843,889,992,1177,1351,1546,1897,2449,2963,3376,2021-09-11,day
GR,226,21,60,106,144,165,182,196,205,211,219,223,226,229,233,241,247,256,270,287,308,345,392,431,2021-09-11,day
HR,26,0,0,0,0,0,0,5,13,18,22,24,26,28,30,34,39,47,58,67,84,109,122,140,2021-09-11,day
HU,11,0,0,0,0,0,0,0,0,0,3,8,11,14,20,32,47,69,90,130,198,282,377,453,2021-09-11,day
IE,18,0,0,0,0,0,0,0,5,10,13,16,18,20,23,26,31,36,44,57,84,116,189,263,2021-09-11,day
IS,2,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,5,7,2021-09-11,day
IT,328,0,0,0,0,0,0,28,113,186,253,296,328,359,403,471,544,631,723,857,1086,1480,1788,2261,2021-09-11,day
LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,6,2021-09-11,day
LT,51,0,2,10,22,28,35,39,44,47,48,50,51,52,54,56,58,62,67,74,80,92,100,111,2021-09-11,day
LU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,7,10,16,18,21,2021-09-11,day
LV,5,0,0,0,0,0,0,0,0,3,4,4,5,6,6,7,10,12,15,20,25,37,56,69,2021-09-11,day
MT,4,0,0,0,0,0,1,1,2,3,3,4,4,4,5,5,6,7,7,8,9,11,12,14,2021-09-11,day
NL,47,0,0,0,0,0,0,0,15,27,35,42,47,53,59,67,79,97,120,141,171,232,306,450,2021-09-11,day
NO,3,0,0,0,0,0,0,0,0,1,1,2,3,4,5,5,6,8,9,11,14,20,25,29,2021-09-11,day
PL,24,0,0,0,0,0,0,0,0,0,0,13,24,35,51,75,149,217,266,367,470,681,791,922,2021-09-11,day
PT,81,0,0,0,0,2,29,48,59,66,72,77,81,85,90,96,103,114,132,160,216,430,575,613,2021-09-11,day
RO,106,0,0,0,0,0,2,34,56,72,86,96,106,116,126,140,156,178,210,247,300,402,557,686,2021-09-11,day
SE,17,0,0,0,0,0,0,0,0,0,1,10,17,24,33,45,57,71,93,118,160,218,263,334,2021-09-11,day
SI,10,0,0,0,0,0,0,0,4,5,7,9,10,11,13,15,16,20,26,36,45,61,72,89,2021-09-11,day
SK,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,6,16,21,34,54,83,142,171,228,2021-09-11,day
