location,forecast_ILM-EKF,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,7,0,0,0,0,0,0,1,2,3,4,6,7,9,10,12,15,17,20,25,30,39,49,61,2021-07-10,day
BE,3,0,0,0,0,0,0,0,0,0,0,2,3,5,7,9,11,14,18,24,32,47,68,89,2021-07-10,day
BG,28,0,0,0,0,4,8,12,15,18,21,25,28,32,35,39,44,49,55,63,72,88,104,129,2021-07-10,day
CH,8,0,0,0,0,0,0,0,0,2,4,6,8,11,14,17,20,25,29,37,46,65,79,100,2021-07-10,day
CY,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,5,6,8,9,12,2021-07-10,day
CZ,5,0,0,0,0,0,0,0,0,0,0,3,5,7,10,13,17,22,28,36,49,71,93,130,2021-07-10,day
DE,238,0,12,42,80,108,130,149,167,185,202,218,238,256,276,298,322,350,382,422,473,559,634,720,2021-07-10,day
DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,5,8,10,15,2021-07-10,day
EE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,6,8,2021-07-10,day
ES,104,0,0,0,0,7,24,39,54,66,79,91,104,117,130,146,164,184,208,237,277,339,401,481,2021-07-10,day
FI,3,0,0,0,0,0,0,0,1,1,2,3,3,4,4,5,6,7,8,9,11,13,16,19,2021-07-10,day
FR,69,0,0,0,0,0,0,0,12,26,40,55,69,87,105,124,151,181,220,269,344,470,637,868,2021-07-10,day
GB,227,0,12,32,60,82,101,123,142,161,183,204,227,253,279,304,333,367,407,464,539,656,783,942,2021-07-10,day
GR,98,9,17,25,37,47,56,64,71,78,85,92,98,106,114,122,130,140,152,167,186,216,244,285,2021-07-10,day
HR,17,0,0,1,4,5,7,9,10,12,13,15,17,19,21,23,26,29,32,37,42,51,59,72,2021-07-10,day
HU,3,0,0,0,0,0,0,0,0,0,0,2,3,6,8,11,14,18,23,29,37,53,71,98,2021-07-10,day
IE,7,0,0,0,0,0,0,0,0,2,3,5,7,8,10,12,15,18,21,26,33,43,55,69,2021-07-10,day
IS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-07-10,day
IT,136,0,0,9,22,36,50,63,76,91,105,122,136,153,171,192,220,248,283,327,391,488,582,671,2021-07-10,day
LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2021-07-10,day
LT,6,0,0,0,0,1,2,2,3,3,4,5,6,6,7,8,9,10,12,13,16,19,23,28,2021-07-10,day
LU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,6,8,10,2021-07-10,day
LV,12,0,0,0,2,4,5,6,7,8,9,11,12,13,14,16,18,20,22,25,29,35,41,48,2021-07-10,day
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,5,6,8,2021-07-10,day
NL,3,0,0,0,0,0,0,0,0,0,0,1,3,4,6,8,10,12,15,18,23,33,43,54,2021-07-10,day
NO,2,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,5,5,6,8,9,12,15,19,2021-07-10,day
PL,38,0,0,0,0,0,0,0,6,14,22,30,38,47,56,67,79,93,112,134,168,220,277,349,2021-07-10,day
PT,16,0,0,0,0,0,1,3,5,7,9,12,16,19,24,29,34,42,50,60,75,99,127,169,2021-07-10,day
RO,924,526,577,625,684,728,763,793,819,847,873,898,924,950,973,1000,1027,1059,1099,1146,1200,1284,1371,1452,2021-07-10,day
SE,57,0,0,6,19,26,32,37,41,45,49,53,57,62,66,71,77,84,92,101,114,137,157,177,2021-07-10,day
SI,3,0,0,0,0,0,0,0,0,1,1,2,3,3,4,5,6,8,9,12,15,21,27,33,2021-07-10,day
SK,14,0,0,0,0,0,0,2,4,6,9,11,14,16,20,23,27,32,37,45,55,76,96,123,2021-07-10,day
