location,forecast_USC-SIkJalpha,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,612,334,383,417,457,483,502,523,544,563,581,596,612,630,646,666,686,711,733,765,804,870,935,999,2021-12-11,day
BE,429,317,331,344,362,375,384,394,401,408,415,422,429,436,444,451,461,470,480,493,509,533,553,579,2021-12-11,day
BG,765,135,221,302,393,459,513,561,606,645,687,726,765,803,844,892,941,996,1053,1125,1215,1381,1485,1685,2021-12-11,day
CH,211,73,90,108,127,141,153,162,172,182,191,201,211,220,230,240,252,266,279,295,317,347,379,428,2021-12-11,day
CY,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2021-12-11,day
CZ,1228,541,623,727,824,885,943,997,1048,1089,1137,1179,1228,1272,1316,1358,1413,1470,1527,1607,1712,1869,2018,2261,2021-12-11,day
DE,3317,1582,1829,2025,2282,2458,2600,2746,2856,2987,3100,3212,3317,3428,3551,3689,3838,3989,4158,4354,4627,5072,5560,5975,2021-12-11,day
DK,91,46,52,58,65,70,73,77,80,83,85,88,91,94,97,100,104,108,112,118,126,136,145,159,2021-12-11,day
EE,49,17,21,25,30,33,36,39,41,43,45,47,49,51,53,55,57,59,62,65,69,75,81,87,2021-12-11,day
ES,140,25,41,55,71,83,93,102,111,118,126,133,140,148,156,165,174,184,195,209,227,255,279,305,2021-12-11,day
FI,24,5,8,10,12,15,16,18,19,20,22,23,24,25,26,28,29,31,33,35,38,43,47,52,2021-12-11,day
FR,835,375,440,493,556,610,648,685,718,750,781,805,835,863,894,926,963,1002,1043,1108,1175,1277,1359,1484,2021-12-11,day
GB,868,229,315,394,497,560,619,664,706,745,788,829,868,906,943,991,1041,1090,1154,1220,1313,1458,1579,1752,2021-12-11,day
GR,851,642,668,690,726,749,766,782,797,811,824,838,851,864,879,895,909,927,948,971,1004,1057,1087,1152,2021-12-11,day
HR,577,446,469,485,503,518,530,539,547,554,562,569,577,585,593,601,611,621,631,645,661,694,718,748,2021-12-11,day
HU,1673,1222,1282,1341,1411,1460,1495,1525,1558,1587,1616,1645,1673,1700,1730,1757,1788,1820,1859,1921,1986,2082,2164,2256,2021-12-11,day
IE,52,30,32,34,36,38,40,42,44,46,47,49,52,54,56,58,60,63,65,68,72,79,85,93,2021-12-11,day
IT,577,347,381,413,441,466,485,504,520,536,550,566,577,592,606,623,638,655,676,701,732,786,834,894,2021-12-11,day
LI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,4,5,8,2021-12-11,day
LT,151,91,103,110,119,125,130,134,138,142,146,149,151,155,158,162,166,170,174,181,188,200,210,220,2021-12-11,day
LU,3,0,0,0,1,1,2,2,2,3,3,3,3,3,4,4,4,5,5,5,6,7,8,9,2021-12-11,day
LV,155,0,15,35,60,78,91,104,114,124,134,145,155,167,177,187,200,212,228,244,264,298,331,367,2021-12-11,day
MT,14,3,4,6,7,8,9,10,11,12,13,13,14,15,16,17,18,20,21,23,25,30,34,40,2021-12-11,day
NL,636,328,376,421,466,496,522,544,563,580,596,616,636,656,678,697,718,742,772,808,848,920,981,1056,2021-12-11,day
NO,84,0,0,0,0,14,24,34,45,55,63,74,84,95,108,122,137,158,182,210,261,351,448,614,2021-12-11,day
PL,4903,1727,2117,2549,2996,3289,3563,3821,4053,4260,4472,4674,4903,5116,5341,5593,5868,6176,6528,6935,7476,8385,9312,10479,2021-12-11,day
PT,151,84,93,103,112,119,125,130,135,139,143,147,151,156,160,165,170,176,183,191,202,219,240,265,2021-12-11,day
RO,949,340,433,505,601,665,713,758,800,838,875,914,949,983,1020,1057,1095,1141,1189,1254,1328,1444,1552,1666,2021-12-11,day
SE,39,0,3,7,13,17,21,24,28,30,33,36,39,42,45,48,52,56,61,67,75,87,98,113,2021-12-11,day
SI,155,85,92,100,112,120,127,132,136,141,145,150,155,159,164,168,174,180,187,195,205,225,242,278,2021-12-11,day
SK,554,377,406,431,455,473,488,501,512,523,533,543,554,563,574,585,597,612,626,644,667,703,729,765,2021-12-11,day
