location,forecast_USC-SIkJalpha,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,89,39,46,53,60,65,69,73,77,80,83,86,89,93,96,100,103,108,112,119,125,138,150,169,2021-10-02,day
BE,50,19,24,28,32,35,38,40,42,44,46,48,50,52,53,55,58,60,63,66,70,78,84,94,2021-10-02,day
BG,558,194,252,303,354,390,421,451,474,495,516,537,558,577,602,621,648,677,709,749,796,878,946,1032,2021-10-02,day
CH,47,5,11,16,22,26,29,33,36,39,42,44,47,49,52,55,58,61,65,69,75,85,93,101,2021-10-02,day
CY,12,0,2,3,5,6,7,8,9,10,11,11,12,13,14,15,16,17,18,19,22,25,29,34,2021-10-02,day
CZ,23,4,6,8,11,14,15,17,18,20,21,22,23,25,26,28,29,31,34,36,40,45,50,57,2021-10-02,day
DE,411,136,179,212,253,279,304,325,345,363,380,395,411,429,445,463,483,506,532,563,603,665,719,777,2021-10-02,day
DK,24,9,11,13,15,17,18,19,20,21,22,23,24,24,25,26,27,28,30,31,34,37,39,42,2021-10-02,day
EE,18,5,7,9,10,12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,28,31,34,37,2021-10-02,day
ES,375,28,72,118,176,208,238,266,291,314,336,356,375,401,422,448,472,503,537,569,618,698,757,828,2021-10-02,day
FI,12,5,7,7,9,9,10,10,11,11,12,12,12,13,13,14,14,15,15,16,17,18,20,21,2021-10-02,day
FR,440,26,83,131,202,246,281,310,338,364,393,413,440,463,485,513,540,573,607,653,708,785,855,945,2021-10-02,day
GB,1213,549,654,727,831,907,967,1015,1060,1096,1136,1172,1213,1250,1291,1330,1382,1436,1493,1576,1654,1808,1924,2082,2021-10-02,day
GR,273,187,200,211,224,233,241,246,252,257,263,268,273,279,284,290,296,303,310,319,331,349,367,388,2021-10-02,day
HR,95,61,65,69,75,79,82,84,87,89,91,93,95,98,100,103,105,108,112,115,120,127,135,142,2021-10-02,day
HU,55,18,21,26,32,36,39,42,45,47,49,52,55,57,60,62,65,68,72,76,81,92,100,110,2021-10-02,day
IE,22,10,12,14,15,17,17,18,19,20,21,21,22,23,24,24,25,26,27,29,31,34,36,40,2021-10-02,day
IT,376,223,250,268,290,307,319,328,339,349,357,367,376,385,394,405,416,427,439,456,477,509,534,567,2021-10-02,day
LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,4,7,2021-10-02,day
LT,148,93,100,108,117,122,127,131,135,138,142,145,148,152,155,159,164,168,173,179,186,198,209,222,2021-10-02,day
LU,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2021-10-02,day
LV,58,29,32,36,40,44,46,48,50,52,54,56,58,60,62,64,66,69,71,75,79,86,93,101,2021-10-02,day
MT,5,0,0,1,2,3,3,3,4,4,5,5,5,6,6,7,7,8,8,9,10,11,12,14,2021-10-02,day
NL,43,13,17,22,26,29,32,34,36,38,39,41,43,44,46,48,50,52,55,58,62,68,73,80,2021-10-02,day
NO,15,0,0,0,0,1,3,6,7,9,11,13,15,17,20,22,25,27,31,35,43,53,61,73,2021-10-02,day
PL,80,22,30,38,45,51,55,60,65,69,72,76,80,83,86,90,94,99,104,110,120,133,145,160,2021-10-02,day
PT,35,18,20,23,25,27,29,30,31,32,33,34,35,36,37,38,39,40,41,43,45,48,50,54,2021-10-02,day
RO,1037,672,715,769,818,859,889,914,943,971,992,1016,1037,1058,1082,1107,1134,1162,1196,1231,1281,1367,1434,1505,2021-10-02,day
SE,164,54,67,80,97,108,117,126,134,141,149,156,164,171,179,189,199,209,221,235,255,289,322,375,2021-10-02,day
SI,66,31,37,41,46,49,52,55,57,59,61,63,66,68,71,73,76,79,83,87,91,99,106,118,2021-10-02,day
SK,17,4,6,7,9,11,12,13,14,15,16,17,17,18,19,20,21,23,24,26,28,31,34,38,2021-10-02,day
