location,forecast_UVA-Ensemble,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,183,84,94,104,116,125,136,146,153,159,168,177,183,191,200,208,217,227,238,253,273,308,342,387,2021-03-27,day
BE,184,83,92,103,116,126,137,146,154,161,169,177,184,192,200,209,219,230,245,264,286,321,361,407,2021-03-27,day
BG,1028,421,509,584,669,725,780,833,871,908,948,990,1028,1067,1110,1160,1211,1265,1330,1414,1517,1704,1884,2118,2021-03-27,day
CH,63,19,22,26,31,35,39,43,47,50,55,59,63,67,71,77,82,89,97,107,122,149,178,220,2021-03-27,day
CY,7,0,1,1,1,2,2,3,3,4,5,6,7,8,10,12,15,18,24,33,50,92,161,316,2021-03-27,day
CZ,1551,1065,1127,1176,1245,1290,1330,1369,1403,1435,1470,1512,1551,1589,1632,1675,1714,1756,1807,1867,1938,2053,2163,2307,2021-03-27,day
DE,1475,653,728,811,928,1010,1089,1167,1222,1276,1342,1417,1475,1533,1592,1656,1727,1805,1894,2003,2149,2384,2590,2947,2021-03-27,day
DK,16,3,3,4,6,7,8,10,11,12,13,15,16,17,19,21,24,27,30,34,41,54,72,100,2021-03-27,day
EE,94,39,46,52,59,65,70,75,79,82,86,91,94,98,102,107,113,118,125,135,149,172,197,233,2021-03-27,day
ES,706,191,239,280,327,381,424,465,500,535,596,660,706,750,797,847,909,981,1069,1186,1329,1539,1758,2138,2021-03-27,day
FI,20,3,4,5,6,8,10,12,13,15,17,18,20,22,24,26,29,32,36,42,50,66,84,116,2021-03-27,day
FR,1792,836,960,1054,1164,1245,1353,1465,1530,1598,1669,1738,1792,1846,1910,1976,2049,2131,2231,2373,2548,2794,3056,3389,2021-03-27,day
GB,576,276,299,319,347,371,396,419,445,471,504,541,576,607,641,683,727,779,839,911,1005,1172,1330,1548,2021-03-27,day
GR,450,277,304,325,349,364,377,389,400,411,425,439,450,464,482,500,515,532,553,577,612,666,718,789,2021-03-27,day
HR,93,34,39,45,53,57,62,67,71,75,81,89,93,97,103,108,114,120,129,140,154,180,209,251,2021-03-27,day
HU,1701,853,936,1037,1126,1184,1299,1439,1485,1541,1580,1632,1701,1743,1792,1839,1893,1953,2024,2148,2258,2429,2590,2809,2021-03-27,day
IE,83,26,32,38,46,52,56,61,65,69,74,78,83,88,93,99,106,114,124,137,154,187,223,269,2021-03-27,day
IS,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,4,5,9,12,18,2021-03-27,day
IT,2811,2012,2103,2189,2294,2368,2448,2520,2575,2630,2688,2759,2811,2870,2961,3063,3133,3206,3297,3416,3534,3707,3879,4088,2021-03-27,day
LI,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,3,5,7,13,20,34,2021-03-27,day
LT,58,22,27,30,34,37,41,44,46,49,52,55,58,60,63,66,69,73,78,84,92,107,123,145,2021-03-27,day
LU,23,6,7,8,11,13,14,16,17,18,19,21,23,25,27,29,31,34,38,43,51,65,83,110,2021-03-27,day
LV,55,20,24,28,33,37,39,42,45,47,49,52,55,57,61,64,68,72,78,85,94,111,128,153,2021-03-27,day
MT,23,9,10,11,12,13,14,15,17,18,19,21,23,24,27,29,31,34,38,43,51,67,85,117,2021-03-27,day
NL,248,118,133,146,161,172,188,204,213,222,230,240,248,258,269,279,291,305,322,344,375,430,485,561,2021-03-27,day
NO,11,1,1,2,2,3,4,5,6,7,8,9,11,12,14,16,18,21,25,31,40,58,81,126,2021-03-27,day
PL,2744,1388,1476,1564,1664,1772,1972,2173,2300,2414,2526,2629,2744,2852,2961,3076,3199,3346,3537,3710,3931,4294,4607,4963,2021-03-27,day
PT,63,24,29,32,36,40,44,48,51,54,57,60,63,66,70,75,79,85,92,100,111,129,149,176,2021-03-27,day
RO,713,439,468,495,527,549,576,600,617,634,664,695,713,730,751,772,794,817,844,879,922,992,1061,1144,2021-03-27,day
SE,143,35,44,51,61,70,80,90,99,106,119,132,143,153,169,185,200,220,242,277,326,404,494,602,2021-03-27,day
SI,36,11,13,16,19,22,24,27,29,31,32,34,36,38,40,42,45,48,51,56,64,77,91,114,2021-03-27,day
SK,666,413,448,479,515,539,560,579,596,612,631,650,666,681,698,715,734,754,777,804,838,895,949,1017,2021-03-27,day
