location,forecast_epiforecasts-EpiExpert,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,13587,9440,10013,10463,11125,11540,11912,12220,12516,12811,13073,13340,13587,13885,14169,14474,14785,15148,15557,16075,16719,17766,18767,19955,2021-05-08,day
BE,19959,11301,12485,13529,14997,15760,16606,17245,17822,18401,18881,19498,19959,20570,21317,21942,22472,23359,24073,25220,26413,28715,30435,33453,2021-05-08,day
BG,6070,2892,3269,3656,4064,4400,4688,4954,5199,5429,5624,5811,6070,6347,6675,6922,7185,7504,7844,8291,9032,10025,11186,12989,2021-05-08,day
CZ,14886,7117,7869,8679,9658,10375,11082,11673,12382,13093,13682,14189,14886,15310,16001,16622,17137,17933,18675,19619,21149,23911,26231,27489,2021-05-08,day
DE,117985,86561,90935,94880,99529,102730,105472,107758,109968,112003,114026,116036,117985,119931,122053,124229,126564,129187,132140,135664,139991,147440,154328,162203,2021-05-08,day
ES,67977,44616,47675,50473,53904,56349,58372,60165,61821,63397,64930,66448,67977,69541,71166,72887,74745,76803,79162,82003,85723,91550,96923,103569,2021-05-08,day
FR,191178,127539,135934,143596,152966,159631,165135,170008,174506,178781,182934,187044,191178,195404,199794,204435,209443,214985,221329,228960,238936,254528,268873,286572,2021-05-08,day
GB,17490,9481,10355,11214,12300,13121,13815,14453,15066,15671,16270,16872,17490,18142,18840,19618,20463,21430,22574,24033,26025,29410,32801,37364,2021-05-08,day
HR,13886,9471,9901,10671,11311,11739,12055,12328,12677,12952,13212,13540,13886,14185,14482,14873,15141,15455,15844,16446,16967,18067,18862,19616,2021-05-08,day
HU,13870,6212,7080,8075,8963,9790,10561,11024,11609,12097,12649,13134,13870,14483,15075,15724,16545,17336,18150,19387,20633,23687,25507,28900,2021-05-08,day
IE,3562,2426,2529,2693,2890,2998,3094,3180,3263,3354,3421,3495,3562,3658,3711,3777,3866,3958,4072,4202,4356,4676,4827,5017,2021-05-08,day
IS,25,1,1,2,4,5,7,9,11,14,17,21,25,30,37,45,55,69,89,119,172,297,477,826,2021-05-08,day
IT,85189,54301,58072,60755,66711,69885,72539,74156,76725,79308,81300,83312,85189,87167,89020,91307,93413,96553,100093,103573,108676,116943,122001,130492,2021-05-08,day
NL,64273,53358,54946,56348,58010,59159,60088,60897,61632,62322,62984,63630,64273,64922,65589,66285,67027,67836,68750,69829,71212,73312,75184,77420,2021-05-08,day
PL,33726,25912,26969,27871,29013,29821,30494,31084,31646,32145,32673,33163,33726,34149,34690,35243,35860,36599,37258,38173,39377,41154,42732,44404,2021-05-08,day
PT,3583,541,774,1064,1464,1710,1962,2218,2508,2767,3081,3328,3583,4014,4413,4800,5189,5879,6591,7480,8541,10545,12410,16495,2021-05-08,day
SE,41771,18193,21182,22900,26650,29248,31075,33008,35335,36799,38181,39875,41771,43443,45415,47678,49935,52704,55640,59428,65478,73477,81519,94393,2021-05-08,day
SK,3008,496,675,864,1161,1408,1639,1882,2106,2309,2518,2781,3008,3263,3634,3974,4368,4751,5277,6037,7118,8660,10605,12477,2021-05-08,day
