location,forecast_epiforecasts-EpiNow2,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,55,20,24,28,33,36,40,42,45,47,50,52,55,57,60,63,67,70,74,80,89,110,131,159,2021-09-25,day
BE,42,17,19,22,26,29,31,33,35,37,39,40,42,44,45,48,50,52,55,59,64,70,83,92,2021-09-25,day
BG,353,141,171,189,213,233,254,274,290,303,316,333,353,371,390,410,431,455,480,508,549,631,726,853,2021-09-25,day
CH,53,14,16,21,26,31,34,37,40,43,47,50,53,56,60,66,70,77,85,95,119,157,193,258,2021-09-25,day
CY,8,1,2,3,3,4,5,5,6,6,7,7,8,8,9,9,10,11,12,13,14,17,19,22,2021-09-25,day
CZ,20,3,5,6,8,10,12,13,14,16,17,18,20,21,24,25,27,29,33,37,42,51,60,71,2021-09-25,day
DE,336,108,128,146,172,198,219,236,259,275,294,312,336,361,386,416,442,464,505,547,614,729,830,899,2021-09-25,day
DK,9,1,2,3,4,5,6,6,7,7,8,8,9,10,10,11,12,12,13,15,16,18,21,23,2021-09-25,day
EE,14,3,4,5,7,8,9,10,11,12,12,13,14,15,15,17,18,19,20,22,24,29,31,36,2021-09-25,day
ES,250,101,119,133,156,170,185,196,207,218,231,240,250,263,275,290,308,322,342,363,408,475,522,599,2021-09-25,day
FI,7,0,1,2,3,3,4,4,5,5,6,6,7,8,8,9,10,11,11,13,15,18,21,25,2021-09-25,day
FR,299,72,89,108,138,161,183,198,218,238,255,276,299,321,342,372,406,439,482,541,640,841,1154,1523,2021-09-25,day
GB,758,236,296,341,409,461,505,549,585,633,674,717,758,787,828,867,905,945,996,1053,1157,1281,1359,1510,2021-09-25,day
GR,216,122,131,143,159,171,179,185,192,198,204,211,216,223,231,236,246,253,262,275,294,323,356,393,2021-09-25,day
HR,95,56,61,65,71,75,78,81,84,86,89,92,95,97,101,103,107,110,114,120,127,135,142,152,2021-09-25,day
HU,34,7,10,13,16,19,22,24,26,28,30,32,34,36,38,42,45,50,55,61,69,85,104,124,2021-09-25,day
IE,22,3,4,7,9,11,12,14,16,17,19,21,22,24,26,29,31,34,38,43,50,66,78,100,2021-09-25,day
IS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,2021-09-25,day
IT,320,163,193,216,241,258,271,282,292,300,307,313,320,328,336,348,356,367,376,387,402,427,449,465,2021-09-25,day
LI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,5,6,2021-09-25,day
LT,97,52,61,66,74,78,80,84,87,89,92,94,97,100,102,105,109,113,118,124,133,149,175,199,2021-09-25,day
LU,2,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,3,3,4,4,5,7,11,17,2021-09-25,day
LV,36,12,14,18,21,23,26,27,29,31,33,35,36,38,40,42,44,47,51,56,61,68,77,89,2021-09-25,day
MT,2,0,0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,5,6,7,8,2021-09-25,day
NL,36,11,14,18,21,25,27,28,30,32,33,35,36,38,39,41,43,45,48,50,54,61,68,76,2021-09-25,day
NO,9,0,1,2,3,4,4,5,6,6,7,8,9,10,10,11,12,14,15,17,21,24,28,35,2021-09-25,day
PL,81,21,28,32,41,48,54,59,64,68,73,77,81,86,91,96,102,111,120,130,145,176,196,245,2021-09-25,day
PT,40,18,21,23,27,30,31,33,34,36,37,39,40,42,43,45,46,48,50,52,55,61,64,69,2021-09-25,day
RO,717,465,501,532,569,591,618,639,655,671,686,702,717,730,753,771,787,807,839,865,911,1015,1088,1226,2021-09-25,day
SE,15,1,2,3,5,6,8,8,10,11,13,14,15,17,18,20,22,25,28,32,38,53,68,91,2021-09-25,day
SI,28,9,11,13,16,18,20,22,23,24,26,27,28,30,31,33,35,36,38,41,44,52,59,72,2021-09-25,day
SK,17,3,3,5,7,8,10,10,12,13,15,16,17,19,21,23,26,28,32,36,44,59,82,137,2021-09-25,day
