location,forecast_epiforecasts-EpiNow2,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,target_date,type
AT,78,45,48,53,58,61,64,66,68,71,73,75,78,80,83,86,89,93,97,102,109,121,135,167,2021-10-30,day
BE,60,7,10,14,20,26,30,35,39,45,50,55,60,66,72,82,92,102,116,135,163,223,287,417,2021-10-30,day
BG,964,689,723,759,808,839,862,878,896,917,934,950,964,980,997,1013,1031,1050,1075,1105,1147,1225,1290,1350,2021-10-30,day
CH,23,2,4,5,8,10,11,13,15,16,18,20,23,25,28,31,34,37,43,50,63,86,108,150,2021-10-30,day
CY,3,0,0,0,1,1,2,2,2,3,3,3,3,4,4,5,5,6,6,7,8,10,12,16,2021-10-30,day
CZ,72,22,27,33,39,43,48,51,55,60,64,68,72,76,79,84,89,95,103,113,123,143,161,180,2021-10-30,day
DE,448,151,170,202,242,264,291,319,344,372,400,426,448,471,494,532,570,609,677,746,871,1043,1237,1553,2021-10-30,day
DK,20,5,7,9,11,12,14,15,16,17,18,19,20,21,23,24,26,28,30,33,36,42,49,59,2021-10-30,day
EE,49,17,22,25,30,33,36,38,40,42,44,47,49,51,54,57,60,62,67,72,77,87,98,110,2021-10-30,day
ES,149,28,43,51,69,82,91,101,112,121,130,139,149,161,179,191,206,222,253,277,326,400,483,632,2021-10-30,day
FI,19,3,4,5,7,9,10,12,13,14,16,17,19,21,22,24,26,29,32,36,40,52,61,84,2021-10-30,day
FR,157,40,51,62,79,93,103,112,120,129,137,147,157,168,179,194,207,223,249,281,334,423,601,891,2021-10-30,day
GB,1029,521,572,651,729,792,830,867,898,930,954,991,1029,1064,1100,1144,1179,1230,1271,1336,1412,1571,1707,1908,2021-10-30,day
GR,251,163,179,189,201,211,219,225,230,237,243,247,251,256,261,266,272,277,285,294,308,328,343,367,2021-10-30,day
HR,127,74,80,89,96,102,106,110,113,117,121,123,127,130,133,137,140,144,147,154,164,177,189,215,2021-10-30,day
HU,149,49,57,72,87,96,105,115,124,130,138,145,149,162,172,181,195,208,224,245,274,329,380,428,2021-10-30,day
IE,38,6,9,12,16,19,21,24,26,29,32,35,38,41,45,48,52,57,63,69,80,100,119,139,2021-10-30,day
IS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,4,2021-10-30,day
IT,202,133,143,153,165,173,178,182,185,190,194,199,202,206,210,216,221,226,232,241,249,262,278,294,2021-10-30,day
LI,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,7,11,23,2021-10-30,day
LT,295,197,220,227,241,252,260,266,273,279,283,289,295,300,305,310,317,323,331,340,352,369,385,402,2021-10-30,day
LU,2,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,3,3,3,4,5,6,7,8,2021-10-30,day
LV,200,108,113,127,141,153,161,169,177,183,190,195,200,205,211,217,224,229,242,254,269,294,330,369,2021-10-30,day
MT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,4,6,2021-10-30,day
NL,63,22,26,30,35,38,41,44,48,51,55,58,63,67,71,75,80,86,94,104,118,143,172,216,2021-10-30,day
NO,7,0,1,2,2,3,4,4,5,6,6,7,7,8,9,10,11,12,14,16,19,23,29,42,2021-10-30,day
PL,517,153,191,238,282,318,356,380,403,433,466,491,517,548,581,619,652,692,747,797,901,1009,1105,1378,2021-10-30,day
PT,46,20,23,27,30,33,35,37,39,41,43,45,46,49,50,52,54,56,59,62,65,73,82,91,2021-10-30,day
RO,2668,2069,2154,2214,2312,2390,2435,2472,2521,2564,2603,2638,2668,2708,2747,2792,2833,2883,2964,3051,3160,3297,3422,3614,2021-10-30,day
SE,29,5,6,9,12,14,17,19,21,22,25,27,29,31,33,36,39,43,47,52,58,73,91,118,2021-10-30,day
SI,50,20,24,27,31,34,37,39,41,43,45,47,50,51,54,58,61,65,70,77,86,104,121,163,2021-10-30,day
SK,136,33,38,48,65,76,86,95,104,111,121,129,136,145,157,166,177,191,208,231,265,320,396,486,2021-10-30,day
